index,위도,경도,수요 지수,인프라 지수,접근성 지수,합산 지수,순위
226,37.52173089518521,126.86767893806262,0.9295903209522762,1.0,0.2764929492776024,8.130527824268862,1
271,37.52626759705972,126.87329928384403,0.9503157894736842,0.9032248007,0.2760153142166072,8.060374966675319,2
249,37.52399927921892,126.8704890258772,1.0,0.8923168611,0.1024224862161859,7.989478694632371,3
153,37.51264125119668,126.8536116185126,0.9480355760296116,0.8294835223,0.1956958490591676,7.738572198896005,4
159,37.5261608439174,126.853494980576,0.8547986017345882,0.908520374,0.0390009749734175,7.023834308354365,5
199,37.5081960819968,126.86496449095527,0.7628250010749991,0.9972753072,0.1236076054720807,6.818715831794155,6
286,37.519522754451074,126.87618476550576,0.8381220697468605,0.8018080986,0.0605210502535949,6.7533907161883535,7
255,37.53751889034475,126.8703753867166,0.759157894736842,0.8744471862,0.2183933661042168,6.740628473029486,8
186,37.51494065811246,126.86207845409584,0.6309287935356983,0.9703619577,0.5066478239748341,6.7395923245638585,9
285,37.51726947871645,126.87620352366352,0.7898611968732849,0.7791160113,0.1833833276148481,6.664165859069406,10
166,37.51941650147592,126.856382233836,0.7231550689223742,0.9361271311,0.1590327720158849,6.529250219766015,11
185,37.512687386750144,126.8620976332434,0.7832916539690287,0.7748632194,0.137792619417258,6.525061601448689,12
116,37.51483205141884,126.8422771881739,0.7185912566690589,0.8759170254,0.1786511395638777,6.420683869942109,13
287,37.52177602931589,126.87616600525904,0.7332620580058454,0.9074853524,0.0584331803496995,6.331409413534471,14
237,37.54651682110566,126.86746962848268,0.748,0.8684563498,0.0444723763193564,6.313857452238712,15
232,37.53525050419422,126.86756480098644,0.7338947368421054,0.9183986626,0.0089391813620412,6.258044108976715,16
168,37.523923033142125,126.85634352032532,0.758276855987437,0.8058063224,0.0262556604510695,6.213785101626761,17
175,37.51492534609058,126.85924969533812,0.5884794393851186,0.9438497894,0.3898548410657444,6.1982858972422,18
48,37.512515242748485,126.83098234180594,0.6705987256883231,0.8939892212,0.1859773683870814,6.183525533304102,19
214,37.54199510567095,126.86467791968704,0.6551578947368419,0.8277077587,0.290105208803976,6.166573303429003,20
231,37.53299723820136,126.86758382912883,0.6736842105263158,0.9274756449,0.114431984563487,6.1259205220848685,21
158,37.52390758063998,126.85351442564438,0.6549328926089427,0.9083348885,0.1446269452757951,6.035521023205247,22
323,37.54208523625437,126.88165665623448,0.7795789473684211,0.5025705518,0.1607918007113569,6.004198389233241,23
184,37.5104341145177,126.86211681025536,0.7241657678307213,0.6782124306,0.1286258310204608,5.958671130225249,24
130,37.52386081656282,126.8450271546308,0.6163092845794309,0.7913217131,0.323284199655532,5.92706753298765,25
235,37.54201029695174,126.86750770384356,0.6473684210526316,0.8989497885,0.0889209727992607,5.859952048914311,26
284,37.51501620211202,126.87622227973256,0.75726615707909,0.6302411209,0.0276654652185876,5.859410114711715,27
115,37.51257878884332,126.8422969625446,0.6698407015070629,0.7337881179,0.1819463458879562,5.850513136618289,28
138,37.51936994821707,126.84789546668846,0.6589938871050237,0.9473922542,0.0,5.848747831030142,29
266,37.51500122879395,126.8733935103904,0.6450785782525582,0.7725682306,0.208928990002276,5.833465910719902,30
250,37.52625254991501,126.87047009128956,0.6242105263157894,0.9850681448,0.0511680996850869,5.817735646864911,31
258,37.54427868416138,126.87031853865612,0.5454736842105263,0.9611758532,0.291495310275948,5.7781844322150535,32
248,37.52174600765285,126.87050795835644,0.5917642108372468,0.8542728487,0.2537213750182595,5.7665737124600005,33
169,37.5261762976697,126.85632416033646,0.6433098551629507,0.7979353481,0.1295281060716724,5.714786039321049,34
267,37.51725450418689,126.87337466927802,0.636992986985781,0.8717776531,0.0481433041067782,5.6617998363282425,35
117,37.51708531312369,126.84225741160112,0.5156380522077499,0.9535976075,0.3238331742348836,5.648689876716267,36
215,37.54424836695422,126.86465879791037,0.6686315789473685,0.8114489573,0.0046343509972245,5.643956090278659,37
256,37.53977215582042,126.87035643947333,0.5831578947368422,0.8922710679,0.1604086055841857,5.604306715389424,38
309,37.53531057667097,126.8788829370606,0.3901052631578947,0.9810676004,0.6421867940360163,5.5871403678194005,39
198,37.505942806791055,126.8649835786924,0.6476053255234259,0.8059826028,0.0260688188553744,5.549734796451304,40
268,37.51950777870995,126.8733558260674,0.4922103683650542,0.9128857374,0.3762242370917935,5.531482159173912,41
108,37.52382930170408,126.8393689849076,0.6402690378838911,0.8145560576,0.0,5.4707263425033466,42
322,37.53983196681067,126.88167526499709,0.5722105263157894,0.6840017055,0.3333933491186172,5.468053267131971,43
220,37.508211254854274,126.86779299890418,0.6326975166253057,0.8199078657,0.0077277683979522,5.451456367947739,44
87,37.51254715126293,126.83663964773372,0.6261279737210493,0.6623909873,0.1776782044182941,5.436906225762884,45
279,37.544293741046765,126.87314841219964,0.5840000000000001,0.8078976352,0.1457989516487921,5.4113931736975855,46
257,37.54202542042599,126.87033749011992,0.5833684210526315,0.8518669252,0.0999065792021524,5.403757535120094,47
269,37.521761052363125,126.8733369807584,0.54830415777832,0.9276892809,0.128492663919529,5.402188836308978,48
78,37.53281052806661,126.83363064817262,0.5377857233295198,0.9715366805,0.0947735310004178,5.359334762977954,49
137,37.51711668484467,126.84791507536322,0.5557052026916789,0.8603027928,0.1332622202896384,5.32136124232935,50
177,37.51943188372691,126.85921116054166,0.5255634323405095,0.8747116755,0.1985834009926384,5.2999707470283335,51
128,37.51935429496269,126.84506654866064,0.5287253124160685,0.9027800365,0.1559420723110946,5.2897960921186,52
