people,name,xcoord,ycoord,petNum,petSum,peopleSum,index
1722.0,신월동,941125,1948875,109.4664483040986,7375.0,116015,0.41186244411739775
939.0,신월동,941125,1949125,59.69163470240917,7375.0,116015,0.224587012210358
558.0,,941125,1949375,0.0,0.0,0,0.0
,신정동,941375,1945125,0.0,9116.0,164700,0.0
401.0,신정동,941375,1945375,22.19499696417729,9116.0,164700,0.08350764858516029
0.0,신정동,941375,1945625,0.0,9116.0,164700,0.0
459.0,신정동,941375,1945875,25.405245901639343,9116.0,164700,0.09558606159747775
2478.0,신정동,941375,1946125,137.1551183970856,9116.0,164700,0.5160397835262523
604.0,신월동,941375,1946375,38.39589708227384,7375.0,116015,0.1444627852769502
2193.0,신월동,941375,1946625,139.40761970434858,7375.0,116015,0.524514715417801
1249.0,신월동,941375,1946875,79.39813817178813,7375.0,116015,0.2987318192233623
839.0,신월동,941375,1947125,53.3346980993837,7375.0,116015,0.20066933252874375
2160.0,신월동,941375,1947375,137.30983062535017,7375.0,116015,0.5166218811228683
837.0,신월동,941375,1947625,53.20755936732319,7375.0,116015,0.20019097893511148
2208.0,신월동,941375,1947875,140.3611601948024,7375.0,116015,0.5281023673700432
1824.0,신월동,941375,1948125,115.95052363918458,7375.0,116015,0.43625847739264434
983.0,신월동,941375,1948375,62.48868680774038,7375.0,116015,0.2351107912702683
115.0,,941375,1948625,0.0,0.0,0,0.0
32.0,,941375,1948875,0.0,0.0,0,0.0
,,941625,1945125,0.0,0.0,0,0.0
,신정동,941625,1945375,0.0,9116.0,164700,0.0
328.0,신정동,941625,1945625,18.15451123254402,9116.0,164700,0.06830550806965731
1187.0,신정동,941625,1945875,65.69940497874924,9116.0,164700,0.247190969752083
2232.0,신정동,941625,1946125,123.5392349726776,9116.0,164700,0.4648106524740095
926.0,신월동,941625,1946375,58.86523294401586,7375.0,116015,0.22147771385174816
2067.0,신월동,941625,1946625,131.39787958453647,7375.0,116015,0.494378439018967
2502.0,신월동,941625,1946875,159.05055380769727,7375.0,116015,0.598420345633989
2152.0,신월동,941625,1947125,136.80127569710814,7375.0,116015,0.5147084667483391
3180.0,신월동,941625,1947375,202.15058397621,7375.0,116015,0.760582213875334
1767.0,신월동,941625,1947625,112.32706977546007,7375.0,116015,0.42262539997412424
956.0,신월동,941625,1947875,60.7723139249235,7375.0,116015,0.22865301775623245
,,941625,1948125,0.0,0.0,0,0.0
76.0,신정동,941875,1945375,4.2065330904675164,9116.0,164700,0.015826886016140105
1739.0,신정동,941875,1945625,96.25211900425016,9116.0,164700,0.36214414186931115
1019.0,신정동,941875,1945875,56.400752884031576,9116.0,164700,0.21220522171640488
2651.0,신정동,941875,1946125,146.73051608986034,9116.0,164700,0.5520667740629924
3569.0,신월동,941875,1946375,226.87906736197905,7375.0,116015,0.8536219878368134
2561.0,신월동,941875,1946625,162.8011464034823,7375.0,116015,0.6125317766461416
2186.0,신월동,941875,1946875,138.9626341421368,7375.0,116015,0.522840477840088
2088.0,신월동,941875,1947125,132.73283627117183,7375.0,116015,0.49940115175210603
2133.0,신월동,941875,1947375,135.5934577425333,7375.0,116015,0.5101641076088325
1283.0,신월동,941875,1947625,81.55949661681679,7375.0,116015,0.3068638303151111
59.0,,942125,1945375,0.0,0.0,0,0.0
1824.0,신정동,942125,1945625,100.9567941712204,9116.0,164700,0.37984526438736255
618.0,신정동,942125,1945875,34.20575591985428,9116.0,164700,0.12869757313124455
161.0,신정동,942125,1946125,8.911208257437766,9116.0,164700,0.03352800853419154
228.0,신월동,942125,1946375,14.493815454898073,7375.0,116015,0.05453230967408054
2497.0,신월동,942125,1946625,158.732706977546,7375.0,116015,0.5972244616499084
2626.0,신월동,942125,1946875,166.93315519544888,7375.0,116015,0.6280782684391909
2045.0,신월동,942125,1947125,129.99935353187087,7375.0,116015,0.48911654948901184
