xcoord,ycoord,법정동,격자별 인구수,동별 반려동물수,동별 인구수,반려동물수
941875,1945375,신정동,76,9116,164700,4.2065330904675164
941875,1945625,신정동,1739,9116,164700,96.25211900425015
941875,1945875,신정동,1019,9116,164700,56.400752884031576
941875,1946125,신정동,2651,9116,164700,146.73051608986034
941875,1946375,신월동,3569,7375,116015,226.87906736197905
941875,1946625,신월동,2561,7375,116015,162.8011464034823
941875,1946875,신월동,2186,7375,116015,138.9626341421368
941875,1947125,신월동,2088,7375,116015,132.73283627117183
941875,1947375,신월동,2133,7375,116015,135.5934577425333
941875,1947625,신월동,1283,7375,116015,81.55949661681679
942125,1945375,,59,0,0,0.0
942125,1945625,신정동,1824,9116,164700,100.9567941712204
942125,1945875,신정동,618,9116,164700,34.20575591985428
942125,1946125,신정동,161,9116,164700,8.911208257437766
942125,1946375,신월동,228,7375,116015,14.493815454898073
942125,1946625,신월동,2497,7375,116015,158.732706977546
942125,1946875,신월동,2626,7375,116015,166.93315519544888
942125,1947125,신월동,2045,7375,116015,129.99935353187087
942125,1947375,신월동,3061,7375,116015,194.58582941860965
942125,1947625,신월동,2336,7375,116015,148.498039046675
942125,1947875,,0,0,0,0.0
942375,1945625,,0,0,0,0.0
942375,1945875,신정동,125,9116,164700,6.918639951426837
942375,1946125,신정동,170,9116,164700,9.409350333940498
942375,1946375,신정동,216,9116,164700,11.955409836065574
942375,1946625,신월동,2760,7375,116015,175.451450243503
942375,1946875,신월동,3273,7375,116015,208.06253501702366
942375,1947125,신정동,2094,9116,164700,115.90105646630236
942375,1947375,신월동,1900,7375,116015,120.78179545748395
942375,1947625,신월동,2527,7375,116015,160.63978795845364
942375,1947875,,47,0,0,0.0
942625,1945875,신정동,1680,9116,164700,92.98652094717669
942625,1946125,신정동,928,9116,164700,51.36398299939284
942625,1946375,신정동,617,9116,164700,34.15040680024286
942625,1946625,신정동,1420,9116,164700,78.59574984820887
942625,1946875,신정동,1341,9116,164700,74.2231693989071
942625,1947125,신정동,1732,9116,164700,95.86467516697024
942625,1947375,신월동,1277,7375,116015,81.17808042063527
942625,1947625,신정동,1751,9116,164700,96.91630843958713
942625,1947875,,515,0,0,0.0
942875,1945875,신정동,431,9116,164700,23.855470552519733
942875,1946125,신정동,3752,9116,164700,207.66989678202793
942875,1946375,신정동,1590,9116,164700,88.00510018214936
942875,1946625,신정동,702,9116,164700,38.85508196721312
942875,1946875,신정동,997,9116,164700,55.18307225258045
942875,1947125,신정동,1327,9116,164700,73.4482817243473
942875,1947375,신정동,2592,9116,164700,143.4649180327869
942875,1947625,신정동,3383,9116,164700,187.2460716454159
942875,1947875,신정동,794,9116,164700,43.94720097146327
943125,1945625,,0,0,0,0.0
943125,1945875,신정동,0,9116,164700,0.0
943125,1946125,신정동,1435,9116,164700,79.42598664238008
943125,1946375,신정동,0,9116,164700,0.0
943125,1946625,신정동,2174,9116,164700,120.32898603521555
943125,1946875,신정동,2862,9116,164700,158.40918032786885
943125,1947125,신정동,1773,9116,164700,98.13398907103826
943125,1947375,신정동,3001,9116,164700,166.1027079538555
943125,1947625,신정동,2546,9116,164700,140.91885853066182
943125,1947875,신정동,1104,9116,164700,61.10542805100182
943375,1945375,,0,0,0,0.0
943375,1945625,,705,0,0,0.0
943375,1945875,신정동,1150,9116,164700,63.6514875531269
943375,1946125,신정동,1961,9116,164700,108.53962355798421
943375,1946375,신정동,2329,9116,164700,128.90809957498482
943375,1946625,신정동,1659,9116,164700,91.82418943533698
943375,1946875,신정동,2080,9116,164700,115.12616879174256
943375,1947125,신정동,1764,9116,164700,97.63584699453551
943375,1947375,신정동,2198,9116,164700,121.6573649058895
943375,1947625,신정동,1855,9116,164700,102.67261687917426
943375,1947875,신정동,1743,9116,164700,96.47351548269582
943625,1945375,,583,0,0,0.0
943625,1945625,신정동,2069,9116,164700,114.517328476017
943625,1945875,신정동,2866,9116,164700,158.6305768063145
943625,1946125,신정동,3100,9116,164700,171.58227079538554
943625,1946375,신정동,2497,9116,164700,138.2067516697025
943625,1946625,신정동,1521,9116,164700,84.18601092896175
943625,1946875,신정동,1959,9116,164700,108.42892531876139
943625,1947125,신정동,1180,9116,164700,65.31196114146934
943625,1947375,신정동,2258,9116,164700,124.97831208257438
943625,1947625,신정동,1539,9116,164700,85.18229508196721
943625,1947875,신정동,1519,9116,164700,84.07531268973892
943625,1948125,,0,0,0,0.0
943625,1949375,,56,0,0,0.0
943625,1949625,,601,0,0,0.0
943625,1949875,,123,0,0,0.0
943625,1950125,,0,0,0,0.0
943875,1945375,신정동,2563,9116,164700,141.85979356405585
943875,1945625,신정동,3019,9116,164700,167.09899210686095
943875,1945875,신정동,1039,9116,164700,57.507735276259865
943875,1946125,신정동,1970,9116,164700,109.03776563448695
943875,1946375,신정동,1816,9116,164700,100.51400121432908
943875,1946625,신정동,556,9116,164700,30.77411050394657
943875,1946875,신정동,1990,9116,164700,110.14474802671523
943875,1947125,신정동,610,9116,164700,33.762962962962966
943875,1947375,신정동,1514,9116,164700,83.79856709168185
943875,1947625,목동,1007,8072,144260,56.346208235131016
943875,1947875,목동,1781,8072,144260,99.65501178427839
943875,1948125,목동,1237,8072,144260,69.21574934146679
943875,1948375,목동,1630,8072,144260,91.2058782753362
943875,1948625,목동,2287,8072,144260,127.96800221821711
943875,1948875,목동,2282,8072,144260,127.68822958547068
943875,1949125,목동,2235,8072,144260,125.05836683765423
943875,1949375,목동,3112,8072,144260,174.13048662137805
943875,1949625,목동,3176,8072,144260,177.71157632053237
943875,1949875,목동,2421,8072,144260,135.46590877582145
943875,1950125,목동,1835,8072,144260,102.67655621793983
943875,1950375,목동,590,8072,144260,33.01317066407875
944125,1945375,신정동,386,9116,164700,21.364760170006072
944125,1945625,신정동,2504,9116,164700,138.5941955069824
944125,1945875,신정동,1836,9116,164700,101.62098360655737
944125,1946125,신정동,401,9116,164700,22.194996964177292
944125,1946375,신정동,1998,9116,164700,110.58754098360656
944125,1946625,신정동,483,9116,164700,26.7336247723133
944125,1946875,신정동,540,9116,164700,29.888524590163936
944125,1947125,신정동,3679,9116,164700,203.62941105039465
944125,1947375,목동,1307,8072,144260,73.13256619991682
944125,1947625,목동,1637,8072,144260,91.5975599611812
944125,1947875,목동,2773,8072,144260,155.1619021211701
944125,1948125,목동,1555,8072,144260,87.00928878413974
944125,1948375,목동,3200,8072,144260,179.05448495771523
944125,1948625,목동,3486,8072,144260,195.05747955081102
944125,1948875,목동,2575,8072,144260,144.0829058644115
944125,1949125,목동,2580,8072,144260,144.3626784971579
944125,1949375,목동,3075,8072,144260,172.0601691390545
944125,1949625,목동,2450,8072,144260,137.08859004575072
944125,1949875,목동,3553,8072,144260,198.8064328296132
944125,1950125,목동,1045,8072,144260,58.47248024400388
944125,1950375,,0,0,0,0.0
944375,1945125,,0,0,0,0.0
944375,1945375,신정동,0,9116,164700,0.0
944375,1945625,신정동,0,9116,164700,0.0
944375,1945875,신정동,239,9116,164700,13.228439587128111
944375,1946125,신정동,1175,9116,164700,65.03521554341226
944375,1946375,신정동,1545,9116,164700,85.51438979963571
944375,1946625,신정동,1815,9116,164700,100.45865209471766
944375,1946875,신정동,839,9116,164700,46.43791135397693
944375,1947125,신정동,2342,9116,164700,129.62763812993322
944375,1947375,목동,4750,8072,144260,265.78400110910854
944375,1947625,목동,2965,8072,144260,165.90517121863303
944375,1947875,목동,1973,8072,144260,110.3982808817413
944375,1948125,목동,868,8072,144260,48.568529044780256
944375,1948375,목동,1747,8072,144260,97.75255788160266
944375,1948625,목동,2336,8072,144260,130.7097740191321
944375,1948875,목동,3606,8072,144260,201.77202273672535
944375,1949125,목동,2770,8072,144260,154.99403854152226
944375,1949375,목동,2771,8072,144260,155.04999306807153
944375,1949625,목동,2591,8072,144260,144.97817828920006
944375,1949875,목동,1952,8072,144260,109.2232358242063
944375,1950125,,0,0,0,0.0
944625,1945125,신정동,0,9116,164700,0.0
944625,1945375,신정동,0,9116,164700,0.0
944625,1945625,신정동,0,9116,164700,0.0
944625,1945875,신정동,0,9116,164700,0.0
944625,1946125,신정동,402,9116,164700,22.250346083788706
944625,1946375,신정동,2553,9116,164700,141.30630236794173
944625,1946625,신정동,2521,9116,164700,139.53513054037643
944625,1946875,신정동,1948,9116,164700,107.82008500303583
944625,1947125,신정동,2170,9116,164700,120.10758955676988
944625,1947375,목동,1854,8072,144260,103.73969222237626
944625,1947625,목동,4514,8072,144260,252.57873284347704
944625,1947875,목동,0,8072,144260,0.0
944625,1948125,목동,444,8072,144260,24.84380978788299
944625,1948375,목동,2490,8072,144260,139.32677110772218
944625,1948625,목동,1835,8072,144260,102.67655621793983
944625,1948875,목동,1869,8072,144260,104.57901012061555
944625,1949125,목동,1354,8072,144260,75.76242894773326
944625,1949375,목동,2504,8072,144260,140.11013447941218
944625,1949625,목동,2774,8072,144260,155.2178566477194
944625,1949875,목동,1144,8072,144260,64.0119783723832
944875,1945625,,0,0,0,0.0
944875,1945875,,0,0,0,0.0
944875,1946125,신정동,0,9116,164700,0.0
944875,1946375,신정동,2997,9116,164700,165.88131147540983
944875,1946625,신정동,3126,9116,164700,173.02134790528234
944875,1946875,신정동,3317,9116,164700,183.59302975106255
944875,1947125,신정동,2902,9116,164700,160.62314511232543
944875,1947375,목동,1802,8072,144260,100.83005684181339
944875,1947625,목동,436,8072,144260,24.3961735754887
944875,1947875,목동,1683,8072,144260,94.17146818244835
944875,1948125,목동,956,8072,144260,53.492527381117426
944875,1948375,목동,1256,8072,144260,70.27888534590323
944875,1948625,목동,1035,8072,144260,57.912934978511025
944875,1948875,목동,2004,8072,144260,112.13287120476917
944875,1949125,목동,1681,8072,144260,94.05955912934978
944875,1949375,목동,1229,8072,144260,68.7681131290725
944875,1949625,목동,2077,8072,144260,116.21755164286705
944875,1949875,목동,1438,8072,144260,80.46260917787329
945125,1946125,,0,0,0,0.0
945125,1946375,,0,0,0,0.0
945125,1946625,,0,0,0,0.0
945125,1946875,,0,0,0,0.0
945125,1947125,신정동,1159,9116,164700,64.14962962962963
945125,1947375,,451,0,0,0.0
945125,1947625,목동,0,8072,144260,0.0
945125,1947875,목동,0,8072,144260,0.0
945125,1948125,목동,0,8072,144260,0.0
945125,1948375,목동,2331,8072,144260,130.4300013863857
945125,1948625,목동,1853,8072,144260,103.68373769582698
945125,1948875,목동,1156,8072,144260,64.68343269097463
945125,1949125,목동,2012,8072,144260,112.58050741716346
945125,1949375,목동,866,8072,144260,48.456619991681684
945125,1949625,목동,131,8072,144260,7.3300429779564675
945125,1949875,목동,357,8072,144260,19.975765978095104
945125,1950125,,0,0,0,0.0
945375,1947625,,0,0,0,0.0
945375,1947875,목동,0,8072,144260,0.0
945375,1948125,목동,0,8072,144260,0.0
945375,1948375,목동,1220,8072,144260,68.26452239012893
945375,1948625,목동,1964,8072,144260,109.89469014279773
945375,1948875,목동,1665,8072,144260,93.1642867045612
945375,1949125,목동,2718,8072,144260,152.08440316095937
945375,1949375,목동,3703,8072,144260,207.1996118120061
945375,1949625,목동,1434,8072,144260,80.23879107167615
945375,1949875,목동,242,8072,144260,13.540995424927214
945375,1950125,,0,0,0,0.0
945625,1947625,,0,0,0,0.0
945625,1947875,,0,0,0,0.0
945625,1948125,목동,0,8072,144260,0.0
945625,1948375,목동,2887,8072,144260,161.5407181477887
945625,1948625,목동,1957,8072,144260,109.50300845695273
945625,1948875,목동,227,8072,144260,12.701677526687925
945625,1949125,목동,0,8072,144260,0.0
945625,1949375,목동,0,8072,144260,0.0
945625,1949625,,0,0,0,0.0
945625,1949875,,0,0,0,0.0
945875,1947875,,0,0,0,0.0
945875,1948125,목동,0,8072,144260,0.0
945875,1948375,목동,0,8072,144260,0.0
945875,1948625,목동,0,8072,144260,0.0
945875,1948875,목동,0,8072,144260,0.0
945875,1949125,,0,0,0,0.0
946125,1948125,,0,0,0,0.0
946125,1948375,,0,0,0,0.0
946125,1948625,,0,0,0,0.0
