법정동,20대 이하,30대,40대,50대,60대 이상,단독주택,아파트,다세대주택,연립/기타,합계
목동,8521.195652173908,3302.1739130434767,5802.739130434782,5620.884057971014,5844.099637681159,440.24822695035454,8356.223404255321,3528.8593380614648,266.6323877068557,41683.05574827834
신정동,9599.094202898546,3580.9782608695637,6500.681159420289,6815.95652173913,7989.527173913042,575.0886524822695,13295.26595744681,2002.990543735224,215.8345153664302,50575.4169878713
신월동,5542.753623188403,2929.8913043478246,3950.0362318840575,4477.927536231884,6838.889492753622,759.0248226950354,5713.687943262412,4253.386524822694,623.7978723404253,35089.39535152636
