"동별(1)",동별(2),동별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)",동별(2),동별(3),소계,단독주택,단독주택,단독주택,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
"동별(1)",동별(2),동별(3),소계,소계,일반단독주택,다가구주택,영업겸용주택,소계,소계,소계,소계
"서울시",광진구,중곡2동,4986,1188,38,876,274,300,100,3265,133
"서울시",광진구,중곡3동,3870,1179,57,908,214,462,49,2058,122
"서울시",광진구,중곡4동,7366,1508,94,1177,237,314,666,4746,132
"서울시",광진구,능동,2531,786,44,647,95,21,72,1620,32
"서울시",광진구,구의1동,5195,1070,27,793,250,264,180,3553,128
"서울시",광진구,구의2동,7341,977,56,761,160,1355,714,4221,74
"서울시",광진구,구의3동,9070,424,15,299,110,5985,326,2291,44
"서울시",광진구,광장동,10349,214,37,117,60,9068,481,538,48
"서울시",광진구,자양1동,5398,1205,36,893,276,784,182,3118,109
"서울시",광진구,자양2동,7066,848,14,601,233,2802,257,3075,84
"서울시",광진구,자양3동,8582,402,23,301,78,7088,248,782,62
"서울시",광진구,자양4동,4613,1589,68,1278,243,1405,363,1139,117
"서울시",동대문구,소계,103520,17120,4344,9942,2834,65033,3274,16511,1582
"서울시",동대문구,회기동,3115,744,106,496,142,1577,50,652,92
"서울시",동대문구,휘경1동,4327,913,181,640,92,2546,136,677,55
"서울시",동대문구,휘경2동,6802,994,137,741,116,4151,414,1191,52
"서울시",동대문구,청량리동,6209,1507,383,922,202,3691,65,853,93
"서울시",동대문구,답십리1동,9261,944,188,613,143,7743,32,474,68
"서울시",동대문구,답십리2동,9791,991,224,529,238,8184,45,459,112
"서울시",동대문구,용신동,8495,1942,533,1040,369,4446,345,1522,240
"서울시",동대문구,제기동,7896,2262,867,863,532,3113,158,2148,215
"서울시",동대문구,전농1동,8308,2138,654,1231,253,4044,224,1804,98
"서울시",동대문구,전농2동,6437,489,190,249,50,5505,X,417,26
"서울시",동대문구,장안1동,11799,892,44,583,265,6878,867,2934,228
"서울시",동대문구,장안2동,9852,849,72,574,203,6061,637,2148,157
"서울시",동대문구,이문1동,4948,1501,382,951,168,2232,281,837,97
"서울시",동대문구,이문2동,6280,954,383,510,61,4862,20,395,49
"서울시",중랑구,소계,112364,18560,1787,13464,3309,55499,4466,32303,1536
"서울시",중랑구,면목2동,6489,1528,98,1133,297,2444,210,2125,182
"서울시",중랑구,면목4동,5408,1034,80,793,161,2867,157,1288,62
"서울시",중랑구,면목5동,4409,621,68,445,108,2174,264,1300,50
"서울시",중랑구,면목7동,6204,1264,219,858,187,3151,232,1454,103
"서울시",중랑구,상봉1동,7937,622,91,413,118,5365,258,1639,53
"서울시",중랑구,상봉2동,6146,906,76,633,197,2043,173,2891,133
"서울시",중랑구,중화1동,5691,738,58,536,144,2120,639,2137,57
"서울시",중랑구,중화2동,6553,2199,163,1704,332,868,561,2790,135
"서울시",중랑구,묵1동,10805,788,56,573,159,6568,360,3004,85
"서울시",중랑구,묵2동,5309,996,78,705,213,1652,154,2375,132
"서울시",중랑구,망우3동,3604,1348,112,1023,213,61,111,2018,66
"서울시",중랑구,신내1동,12959,436,73,262,101,11411,297,747,68
"서울시",중랑구,신내2동,8440,9,7,X,X,8425,X,X,6
"서울시",중랑구,면목본동,8582,2427,263,1794,370,962,220,4856,117
"서울시",중랑구,면목3.8동,6375,1822,170,1295,357,1942,429,2055,127
"서울시",중랑구,망우본동,7453,1822,175,1297,350,3446,401,1624,160
"서울시",성북구,소계,138621,22520,9622,9897,3001,79206,6262,29213,1420
"서울시",성북구,돈암1동,5778,164,96,50,18,5341,80,184,9
"서울시",성북구,돈암2동,8240,47,32,13,X,7791,20,379,X
