160,강남구,역삼동 ,832-5
161,강남구,삼성동 ,168-12
162,강남구,삼성동 ,158-10
163,강남구,역삼동 ,825-22 외 1
164,강남구,역삼동 ,814-6
165,강남구,삼성동 ,144-14
166,강남구,역삼동 ,826-37 외 1
167,강남구,논현동 ,241 외 7
168,강남구,도곡동 ,957-11
169,강남구,역삼동 ,779-10 외 3
170,강남구,논현동,61
171,강남구,삼성동 ,147-10 외 2
172,강남구,청담동 ,4-1
173,강남구,삼성동 ,143-44 외 1
174,강남구,역삼동 ,680
175,강남구,청담동 ,79
176,강남구,역삼동 ,736-45
177,강남구,역삼동 ,720-7
178,강남구,삼성동 ,158-16
179,강남구,역삼동 ,662-9 외 1
180,강남구,역삼동 ,701-1
181,강남구,대치동 ,890-6
182,강남구,역삼동 ,662-7
183,강남구,논현동 ,200-7
184,강남구,신사동 ,651-24
185,강남구,역삼동 ,682-20 외 1
186,강남구,논현동 ,87-3
187,강남구,신사동 ,501 외 1
188,강남구,역삼동 ,826-26 외 2
189,강남구,논현동 ,215외 2필지
190,강남구,논현동 ,225-5
191,강남구,대치동 ,945-27
192,강남구,역삼동 ,736-17
193,강남구 ,역삼동,825-13
194,강남구,역삼동 ,735-22
195,강남구,청담동 ,68-22
196,강남구,삼성동 ,157-1 외 3
197,강남구,논현동,236-8외1
198,강남구,역삼동 ,707-27
199,강남구,삼성동 ,158-23
200,강남구,청담동 ,125-19
201,강남구,논현동,165-8
202,강남구,대치동 ,945-10
203,강남구,역삼동 ,823-16 외 2
204,강남구,논현동 ,97
205,강남구,논현동 ,119
206,강남구,역삼동 ,707-4 외 2
207,강남구,논현동 ,92 외 2
208,강남구,역삼동 ,642
209,강남구,세곡동 ,521
210,강남구,역삼동 ,688
211,강남구,수서동 ,715 외 3
212,강남구,대치동 ,1004
213,강남구,논현동 ,225-3
214,강남구,자곡동 ,655 외 1
215,강남구,역삼동 ,837-18
216,강남구,삼성동 ,141-26 외 1
217,강남구,역삼동 ,678-39 외 3
218,강남구,도곡동 ,956-1 외 15
219,강남구,신사동 ,568-2 외 10
220,강남구,논현동 ,5-6
221,강남구,세곡동,605
222,강남구,역삼동 ,702-28
223,강남구,역삼동 ,837-13 외 2
224,강남구,대치동 ,948 외 7
225,강남구,자곡동 ,651 외 1
226,강남구,삼성동 ,58-2 외 1
227,강남구,역삼동 ,832-3 외 2
228,강남구,자곡동 ,600 외 1
229,강남구,자곡동 ,596 외 1
230,강남구,역삼동 ,825-24 외 1
231,강남구,역삼동 ,675-3
232,강남구,청담동 ,131
233,강남구,역삼동 ,705-23
234,강남구,역삼동 ,819-5
235,강남구,자곡동 ,662
236,강남구,자곡동 ,658 외 1
237,강남구,신사동 ,514-2
238,강남구,개포동 ,1229-14 외 1
239,강남구,청담동 ,131-17
240,강남구,역삼동 ,825-20 외 4
241,강남구,청담동 ,97-5 외 1
242,강남구,논현동 ,54-4외 3
243,강남구,삼성동 ,142-26
244,강남구,논현동 ,201-11 외3
245,강남구,삼성동 ,144-29 외 1 
246,강남구,논현동 ,206-1
247,강남구,역삼동 ,603-5 외 1
248,강남구,자곡동 ,663
249,강남구,역삼동 ,718-19 외 4
250,강남구,역삼동 ,735-17 외 3
251,강남구,신사동 ,539-11 외 1
252,강남구,삼성동,51-2
253,강남구,신사동,652-16
254,강남구,역삼동 ,603-1
255,강남구,청담동,48-3
256,강남구,세곡동, 587 외1
257,강남구,논현동,62-10
258,강남구,세곡동 ,587번지 외1필지
259,강남구,삼성동,158
260,강남구,청담동 ,2-14호 외 1
261,강남구,율현동,세곡2지구 종교용지2(성당) 밤고개로21길 50
262,강남구,세곡동 ,590번지 외 1
263,강남구,자곡동 ,세곡2지구 준주거1-4(밤고개로 231)
264,강남구,자곡동 ,세곡2지구 준주거1-3(밤고개로 227)
265,강남구,논현동,142-3호
266,강남구,역삼동 ,706-19
267,강남구,대치동 ,995-16
268,강남구,삼성동,142-42 외3필지
269,강남구,율현동,세곡2지구 준주거용지 1-1
270,강남구,자곡동 ,세곡2지구 준주거1-1(밤고개로 219)
271,강남구,역삼동 ,653-2
272,강남구,신사동,587-21
273,강남구,역삼동 ,736-58
274,강남구,신사동,501-2
275,강남구,세곡동 ,616 외1필지
276,강남구,역삼동 ,708-35
277,강남구,율현동,보금자리주택세곡2지구 준주거용지 1-2
278,강남구,역삼동 ,832-16 외1필지
279,강남구,청담동 ,3 외10필지
280,강남구,대치동 ,943 외7필지
281,강남구,일원동 ,717
282,강남구,논현동,74 외1필지
283,강남구,역삼동 ,648-9 외8필지
284,강남구,논현동,60-8
285,강남구,대치동 ,944-21 외3필지
286,강남구,청담동,91-2
287,강남구,삼성동,91-28 외2필지
288,강남구,삼성동,116-1 외1필지
289,강남구,대치동 ,944-23
290,강남구,역삼동,819
291,강남구,논현동,211-14
292,강남구,역삼동,719-24 외4필지
293,강남구,신사동,603 외7필지
294,강남구,세곡동,586
295,강남구,삼성동,141-10
296,강남구,대치동 ,945-20 외1필지
297,강남구,삼성동,157-14
298,강남구,삼성동,168-3 외2필지
299,강남구,대치동 ,946-18
300,강남구,도곡동,957-0
301,강남구,대치동 ,945-11 외6필지
302,강남구,개포동,172-2
303,강남구,역삼동,677-23
304,강남구,역삼동,605-0
305,강남구,역삼동,708-4
306,강남구,대치동,1008-0
307,강남구,역삼동,824-17
308,강남구,역삼동,823-33
309,강남구,역삼동,676-0
310,강남구,역삼동,825-27
311,강남구,역삼동,605-17
312,강남구,세곡동,612
313,강남구,논현동,6
314,강남구,신사동,504-11
315,강남구,청담동,33848
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
