"정류장_ID","정류장_명칭","정류장_유형","정류장_번호","위도","경도","버스도착정보안내기_설치_여부"
"121000528","반포공원승차장","일반차로","22820","37.5100970000","126.9984250000","미설치  "
"121000529","반포공원승차장","일반차로","22821","37.5102490000","126.9988030000","미설치  "
"121000530","정금마을","중앙차로","22033","37.4932970000","126.9827480000","설치   "
"121000531","경문고등학교","중앙차로","22031","37.4904370000","126.9827420000","설치   "
"121000532","총신대입구역.남성시장입구앞","중앙차로","22029","37.4873080000","126.9823010000","설치   "
"121000533","이수역","중앙차로","22027","37.4823320000","126.9820740000","설치   "
"121000541","강남역서초현대타워앞","일반차로","22652","37.4964690000","127.0280080000","설치   "
"121000558","양재IC(출)","가상정류장","78578","37.4638970000","127.0392400000","미설치  "
"121000918","남서울화훼단지","일반차로","37020","37.4602020000","127.0287500000","미설치  "
"121000919","화훼단지","일반차로","37036","37.4598120000","127.0284180000","미설치  "
"121000920","래미안아파트.파이낸셜뉴스","일반차로","22905","37.4916710000","127.0302290000","설치   "
"121000921","강남역나라빌딩앞","일반차로","22997","37.4958150000","127.0283310000","설치   "
"121000922","양재역","일반차로","23841","37.4854110000","127.0388500000","미설치  "
"121000923","양재역","일반차로","23827","37.4850000000","127.0384980000","미설치  "
"121000924","반포미도아파트앞","일반차로","22823","37.5018340000","127.0116550000","미설치  "
"121000925","반포래미안아이파크아파트","일반차로","22829","37.5014570000","127.0120990000","미설치  "
"121000926","삼풍아파트","일반차로","22828","37.4971390000","127.0130950000","미설치  "
"121000927","서초아르누보호텔.유원아파트","일반차로","22827","37.4957070000","127.0197750000","미설치  "
"121000928","프로비스타호텔.서초동유원아파트","일반차로","22826","37.4954290000","127.0199810000","미설치  "
"121000929","교대역","일반차로","22825","37.4940830000","127.0157240000","설치   "
"121000930","삼풍아파트","일반차로","22824","37.4963310000","127.0128920000","미설치  "
"121000931","서래마을","일반차로","22831","37.4994060000","126.9963300000","미설치  "
"121000932","메리어트호텔","일반차로","22830","37.5031280000","127.0055340000","미설치  "
"121000933","서래마을","일반차로","22603","37.4998290000","126.9982660000","미설치  "
"121000936","강남역","일반차로","22666","37.4922200000","127.0280270000","미설치  "
"121000937","강남역도시에빛","일반차로","22600","37.4948300000","127.0288630000","설치   "
"121000938","반포한강공원.세빛섬","일반차로","22405","37.5122500000","126.9977600000","미설치  "
"121000939","반포한강공원.세빛섬","일반차로","22404","37.5126680000","126.9972660000","미설치  "
"121000940","신논현역.씨티은행","일반차로","22413","37.5027680000","127.0249640000","미설치  "
"121000941","신논현역.영신빌딩","일반차로","22412","37.5023780000","127.0251480000","설치   "
"121000942","신논현역.인터파크","일반차로","22411","37.5021720000","127.0252430000","미설치  "
"121000943","신논현역.우신빌딩","일반차로","22410","37.5019950000","127.0253200000","설치   "
"121000944","신논현역.주류성빌딩","일반차로","22406","37.5010590000","127.0257860000","설치   "
"121000945","신논현역.BSX빌딩","일반차로","22407","37.5012830000","127.0256740000","설치   "
"121000946","신논현역.금강빌딩","일반차로","22409","37.5017310000","127.0255230000","설치   "
"121000947","신논현역.유화빌딩","일반차로","22408","37.5015320000","127.0255490000","설치   "
"121000948","신사역4번출구앞","일반차로","22414","37.5155980000","127.0184190000","미설치  "
"121000950","양재IC(출)","가상정류장","0","37.4640480000","127.0395680000","미설치  "
"121000951","반포IC(출)","중앙차로","0","37.5009740000","127.0192290000","미설치  "
"121000952","반포IC(출)","중앙차로","0","37.5010600000","127.0195260000","미설치  "
"121000953","서초IC(출)","중앙차로","0","37.4831610000","127.0258930000","미설치  "
"121000954","서초IC(출)","중앙차로","0","37.4832120000","127.0262350000","미설치  "
"121000956","네이처힐5단지","일반차로","22424","37.4633220000","127.0238930000","설치   "
"121000957","KT삼거리","일반차로","22601","37.4721870000","127.0302100000","미설치  "
"121000958","KT연구개발센터정문","일반차로","22602","37.4704310000","127.0300170000","미설치  "
"121000959","형촌마을입구","일반차로","22604","37.4623280000","127.0221930000","설치   "
"121000960","성촌마을입구","일반차로","22667","37.4643270000","127.0246000000","설치   "
"121000961","청계산입구역","일반차로","22402","37.4494750000","127.0536850000","미설치  "
"121000962","청계산입구역","일반차로","22401","37.4484550000","127.0544430000","미설치  "
"121000963","한남대교남단(가상)","가상정류장","22612","37.5198750000","127.0116250000","미설치  "
"121000964","한남대교남단(가상)","가상정류장","22611","37.5195490000","127.0121390000","미설치  "
"121000965","서초IC(가상)","가상정류장","22641","37.4823590000","127.0266050000","미설치  "
"121000966","서초IC(가상)","가상정류장","22640","37.4823190000","127.0260800000","미설치  "
"121000967","옛골(가상)","가상정류장","0","37.4332120000","127.0672250000","미설치  "
"121000968","옛골(가상)","가상정류장","0","37.4329080000","127.0667960000","미설치  "
"121000969","양재역엘타워빌딩","일반차로","22909","37.4825610000","127.0356300000","미설치  "
"121000970","양재역9번출구","일반차로","22903","37.4826640000","127.0355510000","설치   "
"121000971","양재역커피빈앞","일반차로","22919","37.4828370000","127.0353410000","설치   "
"121000972","양재역신한은행앞","일반차로","22999","37.4829090000","127.0352380000","미설치  "
"121000973","강남역티월드","일반차로","22654","37.4947000000","127.0288700000","설치   "
"121000974","강남역우리은행","일반차로","22653","37.4956210000","127.0283770000","설치   "
"121000975","교대역","일반차로","22711","37.4940320000","127.0143810000","미설치  "
"121000976","반포자이아파트","일반차로","22539","37.5056330000","127.0101480000","미설치  "
"121000977","강남고속버스터미널","일반차로","22793","37.5060680000","127.0039280000","미설치  "
"121000978","구반포","일반차로","22792","37.5018270000","126.9888210000","미설치  "
"121000979","반포자이아파트","일반차로","22533","37.5061940000","127.0093840000","미설치  "
"121000980","팔래스호텔","일반차로","22719","37.5011550000","127.0016880000","미설치  "
"121000981","서초포레스타7단지","일반차로","22403","37.4475720000","127.0555730000","설치   "
"121000982","LH서초아파트","일반차로","22607","37.4600420000","127.0256220000","미설치  "
"121000983","서초호반써밋","일반차로","22605","37.4575670000","127.0146460000","미설치  "
"121000984","kt연구소","일반차로","22478","37.4717090000","127.0309240000","미설치  "
"121000985","서초힐스아파트","일반차로","22347","37.4577870000","127.0168340000","미설치  "
"121000986","서초포레스타2단지앞","일반차로","22116","37.4554880000","127.0630370000","설치   "
"121000987","서초포레스타입구","일반차로","22399","37.4567530000","127.0601600000","설치   "
