"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","혜화동",한국인,16008,201,329,504,746,2241,2074,1209,800,978,987,1273,1035,942,773,530,556,466,250,89,19,6
"종로구","혜화동",외국인,3483,10,6,4,190,2038,874,188,63,37,16,22,10,17,5,0,2,0,0,1,0,0
"중구","소공동",계,3512,114,165,166,132,109,226,350,380,458,373,305,229,169,145,76,48,39,18,6,3,1
"중구","소공동",한국인,2200,58,90,81,55,68,165,240,216,301,221,173,138,120,109,62,44,34,16,6,3,0
"중구","소공동",외국인,1312,56,75,85,77,41,61,110,164,157,152,132,91,49,36,14,4,5,2,0,0,1
"중구","회현동",계,5107,99,127,133,135,205,287,335,303,336,340,470,430,553,507,313,225,168,90,34,15,2
"중구","회현동",한국인,4414,77,89,97,109,179,252,291,231,260,278,405,381,495,461,292,218,162,88,32,15,2
"중구","회현동",외국인,693,22,38,36,26,26,35,44,72,76,62,65,49,58,46,21,7,6,2,2,0,0
"중구","명동",계,3510,41,71,72,101,215,304,303,245,262,261,307,282,268,294,166,127,107,57,20,7,0
"중구","명동",한국인,2662,29,36,48,70,129,207,206,162,184,181,231,219,228,267,152,126,104,56,20,7,0
"중구","명동",외국인,848,12,35,24,31,86,97,97,83,78,80,76,63,40,27,14,1,3,1,0,0,0
"중구","필동",계,4858,61,94,91,133,668,665,501,319,283,240,316,283,326,307,189,134,134,64,41,7,2
"중구","필동",한국인,4020,56,88,87,116,340,412,413,277,258,214,303,271,315,302,188,134,134,63,40,7,2
"중구","필동",외국인,838,5,6,4,17,328,253,88,42,25,26,13,12,11,5,1,0,0,1,1,0,0
"중구","장충동",계,5440,55,101,114,203,936,833,493,313,311,271,343,298,280,274,197,167,138,80,29,4,0
"중구","장충동",한국인,4591,44,86,100,184,680,590,404,266,269,236,315,278,264,266,193,167,136,80,29,4,0
"중구","장충동",외국인,849,11,15,14,19,256,243,89,47,42,35,28,20,16,8,4,0,2,0,0,0,0
"중구","광희동",계,7117,79,81,98,172,784,1075,918,545,459,360,450,444,503,386,306,206,156,67,20,8,0
"중구","광희동",한국인,5722,59,59,77,118,448,764,760,443,378,295,384,371,456,370,290,205,153,65,19,8,0
"중구","광희동",외국인,1395,20,22,21,54,336,311,158,102,81,65,66,73,47,16,16,1,3,2,1,0,0
"중구","을지로동",계,3206,94,46,37,41,162,353,511,395,265,189,195,198,224,174,130,88,57,38,6,3,0
"중구","을지로동",한국인,2917,90,43,32,33,104,303,462,369,246,172,177,183,218,169,127,87,57,36,6,3,0
"중구","을지로동",외국인,289,4,3,5,8,58,50,49,26,19,17,18,15,6,5,3,1,0,2,0,0,0
"중구","신당5동",계,10472,235,254,230,286,599,1031,1023,805,750,698,904,906,814,657,432,393,281,117,47,8,2
"중구","신당5동",한국인,10129,228,251,226,278,542,959,992,771,735,680,876,876,792,650,428,391,280,117,47,8,2
"중구","신당5동",외국인,343,7,3,4,8,57,72,31,34,15,18,28,30,22,7,4,2,1,0,0,0,0
"중구","황학동",계,13614,358,344,234,271,783,1696,1774,1355,1143,785,966,880,893,768,516,395,270,118,49,15,1
"중구","황학동",한국인,12715,334,317,215,241,664,1520,1675,1272,1094,741,911,804,842,736,507,393,267,117,49,15,1
"중구","황학동",외국인,899,24,27,19,30,119,176,99,83,49,44,55,76,51,32,9,2,3,1,0,0,0
"중구","중림동",계,12372,490,458,373,357,570,779,1005,1153,1191,905,985,900,959,721,512,450,308,174,66,9,7
"중구","중림동",한국인,12041,479,451,366,349,540,739,970,1098,1158,879,964,878,945,712,507,446,307,171,66,9,7
"중구","중림동",외국인,331,11,7,7,8,30,40,35,55,33,26,21,22,14,9,5,4,1,3,0,0,0
"중구","신당동",계,8921,140,146,114,171,817,1171,950,649,594,509,702,702,719,490,363,312,221,99,37,14,1
"중구","신당동",한국인,7454,111,126,99,148,463,815,782,553,527,456,625,590,655,473,350,310,220,99,37,14,1
"중구","신당동",외국인,1467,29,20,15,23,354,356,168,96,67,53,77,112,64,17,13,2,1,0,0,0,0
"중구","다산동",계,13809,221,240,317,401,840,1437,1301,974,927,905,1176,1033,1139,944,643,560,470,189,73,16,3
"중구","다산동",한국인,13335,213,229,303,386,782,1338,1245,924,899,867,1144,1008,1114,935,640,558,469,189,73,16,3
"중구","다산동",외국인,474,8,11,14,15,58,99,56,50,28,38,32,25,25,9,3,2,1,0,0,0,0
"중구","약수동",계,16433,389,490,457,457,737,1087,1216,1117,1211,1088,1329,1343,1378,1337,933,741,592,364,124,39,4
"중구","약수동",한국인,16196,386,482,444,440,721,1065,1199,1087,1182,1065,1311,1327,1373,1330,923,741,591,363,124,39,3
"중구","약수동",외국인,237,3,8,13,17,16,22,17,30,29,23,18,16,5,7,10,0,1,1,0,0,1
"중구","청구동",계,13318,313,344,363,395,708,1007,1183,1029,874,842,1116,1066,1158,953,645,526,450,238,82,21,5
"중구","청구동",한국인,13054,305,333,360,391,656,970,1150,998,855,824,1093,1053,1150,951,645,525,450,238,81,21,5
"중구","청구동",외국인,264,8,11,3,4,52,37,33,31,19,18,23,13,8,2,0,1,0,0,1,0,0
"중구","동화동",계,10136,245,351,352,437,541,658,700,613,743,689,899,948,908,698,454,352,308,166,61,13,0
"중구","동화동",한국인,9955,242,343,345,430,523,636,682,585,726,680,890,932,898,694,451,351,308,165,61,13,0
"중구","동화동",외국인,181,3,8,7,7,18,22,18,28,17,9,9,16,10,4,3,1,0,1,0,0,0
