위도,경도,accNum,demandNum,infraNum,공원명
37.521958,126.867486,0.2846336040866806,1.0,1.0,꿈동산어린이공원
37.535258,126.868666,0.2110387368311545,0.7894819043407213,0.7847210449,모세미어린이공원
37.512645,126.83173,0.2187147152964431,0.7213916825224245,0.9747859264,하늘마루어린이공원
37.524624,126.856207,0.0979671526595081,0.8157107909758086,0.7590806385,안산어린이공원
37.512595,126.861548,0.1336314400329316,0.8426202772492526,0.6221699136,호돌이어린이공원
37.545207,126.865033,0.0008241878969038,0.7192755387797277,0.6774836457,백석어린이공원
37.533422,126.878647,0.530768934125056,0.5279065745892775,0.7201765096,은하수어린이공원
37.524402,126.838609,0.1297705816040185,0.6887647423307902,0.6233424321,태양어린이공원
37.517649,126.848293,0.0932058756794617,0.5977958140984215,0.8538902029,신월2동소공원
37.534811,126.832782,0.1980768351184759,0.5196058543558383,0.6696030697,신대어린이공원
