위도,경도,순위
37.54179144869732,126.82789092287507,1
37.54404469350708,126.82787069408947,2
37.54629793744556,126.82785046305098,3
37.537301026615346,126.83076095914655,4
37.53955427446759,126.83074081999992,5
37.53281052806661,126.83363064817262,6
37.535063778955454,126.83361059862624,7
37.53731702897325,126.83359054684699,8
37.539570278119946,126.83357049283462,9
37.530573207004515,126.83648003007323,10
