val,xcoord,ycoord,위도,경도
,"940125","1945875",37.510213617586963,126.822516767048711
,"940125","1946375",37.514720125498542,126.822476030154476
,"940125","1946625",37.516973378147547,126.822455658304960
,"940125","1948375",37.532746122295372,126.822312991821605
164.000000000000000,"940125","1948625",37.534999367974081,126.822292601815548
,"940125","1948875",37.537252612781430,126.822272209538710
,"940375","1945625",37.507976551027497,126.825365607165054
,"940375","1945875",37.510229807599941,126.825345327130194
0.000000000000000,"940375","1946125",37.512483063301296,126.825325044836930
642.000000000000000,"940375","1946375",37.514736318131554,126.825304760285036
,"940375","1946625",37.516989572090679,126.825284473474269
,"940375","1946875",37.519242825178686,126.825264184404304
521.000000000000000,"940375","1947125",37.521496077395518,126.825243893074941
74.000000000000000,"940375","1947375",37.523749328741161,126.825223599485867
2073.000000000000000,"940375","1948375",37.532762325411618,126.825142402527305
,"940625","1945625",37.507992672008683,126.828194084494299
524.000000000000000,"940625","1945875",37.510245929885535,126.828173889470037
544.000000000000000,"940625","1946125",37.512499186891397,126.828153692196835
849.000000000000000,"940625","1946375",37.514752443026225,126.828133492674510
347.000000000000000,"940625","1946625",37.517005698290021,126.828113290902735
,"940625","1946875",37.519258952682740,126.828093086881267
439.000000000000000,"940625","1947125",37.521512206204385,126.828072880609824
1117.000000000000000,"940625","1947375",37.523765458854918,126.828052672088177
,"940875","1945125",37.503502204303480,126.831062777381689
,"940875","1945375",37.505755465221078,126.831042671846362
,"940875","1945625",37.508008725267807,126.831022564072157
1456.000000000000000,"940875","1945875",37.510261984443602,126.831002454058748
959.000000000000000,"940875","1946375",37.514768500182406,126.830962227313393
1282.000000000000000,"940875","1946625",37.517021756745365,126.830942110580892
,"941125","1945125",37.503518187253675,126.833891089204855
928.000000000000000,"941125","1945375",37.505771449464589,126.833871068661750
21.000000000000000,"941125","1945625",37.508024710804690,126.833851045889205
736.000000000000000,"941125","1945875",37.510277971273965,126.833831020886933
219.000000000000000,"941125","1946375",37.514784489599926,126.833790964192247
,"941375","1945125",37.503534102492431,126.836719403257177
401.000000000000000,"941375","1945375",37.505787365991182,126.836699467706566
0.000000000000000,"941375","1945625",37.508040628619192,126.836679529935950
459.000000000000000,"941375","1945875",37.510293890376452,126.836659589945100
,"941625","1945125",37.503549950019597,126.839547719529264
,"941625","1945375",37.505803214800707,126.839527868971359
