공원명,공원구분,위도,경도,공원면적,좌표
세양어린이공원,어린이공원,37.506788,126.864108,1356.02,POINT(126.864108 37.506788)
호돌이어린이공원,어린이공원,37.512595,126.861548,1262.72,POINT(126.861548 37.512595)
오목공원,근린공원,37.528005,126.873279,21512.36,POINT(126.873279 37.528005)
달마을근린공원,근린공원,37.543498,126.868468,35124.0,POINT(126.868468 37.543498)
목동공원,근린공원,37.546521,126.879263,12427.08,POINT(126.879263 37.546521)
목마공원,근린공원,37.538174,126.885602,10914.74,POINT(126.885602 37.538174)
곰달래근린공원,근린공원,37.524905,126.833211,9186.16,POINT(126.833211 37.524905)
독서공원,근린공원,37.519757,126.83485,17985.17,POINT(126.834850 37.519757)
신월공원,근린공원,37.518137,126.834492,33058.0,POINT(126.834492 37.518137)
양지근린공원,근린공원,37.5222,126.831005,8544.07,POINT(126.831005 37.522200)
오솔길공원,근린공원,37.521151,126.836556,18719.98,POINT(126.836556 37.521151)
한울근린공원,근린공원,37.519799,126.832525,16792.16,POINT(126.832525 37.519799)
신트리공원,근린공원,37.514612,126.856483,17843.87,POINT(126.856483 37.514612)
넘은들공원,근린공원,37.513034,126.840467,16176.31,POINT(126.840467 37.513034)
연의공원,근린공원,37.512717,126.833542,37520.0,POINT(126.833542 37.512717)
양천공원,근린공원,37.518012,126.868162,33586.83,POINT(126.868162 37.518012)
신월2동소공원,소공원,37.517649,126.848293,3001.19,POINT(126.848293 37.517649)
신월6동소공원1,소공원,37.517261,126.843217,4862.74,POINT(126.843217 37.517261)
신월6동소공원2,소공원,37.516725,126.844484,1704.44,POINT(126.844484 37.516725)
신월6동소공원3,소공원,37.515737,126.843973,6034.92,POINT(126.843973 37.515737)
신정소공원,소공원,37.506192,126.833035,5238.15,POINT(126.833035 37.506192)
신정7동소공원,소공원,37.510721,126.869612,2481.98,POINT(126.869612 37.510721)
파리공원,문화공원,37.535016,126.877154,29619.3,POINT(126.877154 37.535016)
장수공원,기타,37.522468,126.847043,7700.0,POINT(126.847043 37.522468)
온수도시자연공원,도시자연공원구역,37.514628,126.836199,72521.17,POINT(126.836199 37.514628)
안양천공원,강변공원,37.522877,126.879048,20000.0,POINT(126.879048 37.522877)
양천도시농업공원,도시농업공원,37.512982,126.826174,24078.0,POINT(126.826174 37.512982)
