위도,경도
37.51021361758696,126.82251676704873
37.51472012549854,126.82247603015448
37.51697337814755,126.82245565830496
37.53274612229537,126.8223129918216
37.53499936797408,126.82229260181553
37.53725261278143,126.82227220953872
37.5079765510275,126.82536560716504
37.510229807599934,126.8253453271302
37.512483063301296,126.82532504483692
37.514736318131554,126.82530476028504
37.51698957209068,126.82528447347426
37.51924282517869,126.8252641844043
37.52149607739552,126.82524389307494
37.52374932874116,126.82522359948587
37.53276232541162,126.8251424025273
37.50799267200868,126.82819408449429
37.510245929885535,126.82817388947004
37.5124991868914,126.82815369219684
37.51475244302623,126.82813349267452
37.51700569829001,126.82811329090272
37.51925895268273,126.82809308688125
37.52151220620439,126.82807288060982
37.52376545885492,126.82805267208816
37.50350220430348,126.83106277738167
37.50575546522108,126.83104267184636
37.50800872526781,126.83102256407216
37.5102619844436,126.83100245405873
37.514768500182406,126.8309622273134
37.517021756745365,126.83094211058088
37.50351818725368,126.83389108920484
37.50577144946458,126.83387106866176
37.50802471080469,126.8338510458892
37.510277971273965,126.83383102088692
37.514784489599926,126.83379096419225
37.50353410249243,126.83671940325716
37.50578736599118,126.83669946770657
37.50804062861919,126.83667952993596
37.510293890376445,126.8366595899451
37.5035499500196,126.83954771952926
37.505803214800714,126.83952786897136
