people,name,xcoord,ycoord,petNum,petSum,peopleSum
2502.0,신월동,941625,1946875,159.05055380769727,7375.0,116015
2152.0,신월동,941625,1947125,136.80127569710814,7375.0,116015
3180.0,신월동,941625,1947375,202.15058397621,7375.0,116015
1767.0,신월동,941625,1947625,112.32706977546007,7375.0,116015
956.0,신월동,941625,1947875,60.7723139249235,7375.0,116015
,,941625,1948125,,,0
76.0,신정동,941875,1945375,4.2065330904675164,9116.0,164700
1739.0,신정동,941875,1945625,96.25211900425015,9116.0,164700
1019.0,신정동,941875,1945875,56.400752884031576,9116.0,164700
2651.0,신정동,941875,1946125,146.73051608986034,9116.0,164700
3569.0,신월동,941875,1946375,226.87906736197905,7375.0,116015
2561.0,신월동,941875,1946625,162.8011464034823,7375.0,116015
2186.0,신월동,941875,1946875,138.9626341421368,7375.0,116015
2088.0,신월동,941875,1947125,132.73283627117183,7375.0,116015
2133.0,신월동,941875,1947375,135.5934577425333,7375.0,116015
1283.0,신월동,941875,1947625,81.55949661681679,7375.0,116015
59.0,,942125,1945375,,,0
1824.0,신정동,942125,1945625,100.9567941712204,9116.0,164700
618.0,신정동,942125,1945875,34.20575591985428,9116.0,164700
161.0,신정동,942125,1946125,8.911208257437766,9116.0,164700
228.0,신월동,942125,1946375,14.493815454898073,7375.0,116015
2497.0,신월동,942125,1946625,158.732706977546,7375.0,116015
2626.0,신월동,942125,1946875,166.93315519544888,7375.0,116015
2045.0,신월동,942125,1947125,129.99935353187087,7375.0,116015
3061.0,신월동,942125,1947375,194.58582941860965,7375.0,116015
2336.0,신월동,942125,1947625,148.498039046675,7375.0,116015
,,942125,1947875,,,0
,,942375,1945625,,,0
125.0,신정동,942375,1945875,6.918639951426837,9116.0,164700
170.0,신정동,942375,1946125,9.409350333940498,9116.0,164700
216.0,신정동,942375,1946375,11.955409836065574,9116.0,164700
2760.0,신월동,942375,1946625,175.451450243503,7375.0,116015
3273.0,신월동,942375,1946875,208.06253501702366,7375.0,116015
2094.0,신정동,942375,1947125,115.90105646630236,9116.0,164700
1900.0,신월동,942375,1947375,120.78179545748395,7375.0,116015
2527.0,신월동,942375,1947625,160.63978795845364,7375.0,116015
47.0,,942375,1947875,,,0
1680.0,신정동,942625,1945875,92.98652094717669,9116.0,164700
928.0,신정동,942625,1946125,51.36398299939284,9116.0,164700
617.0,신정동,942625,1946375,34.15040680024286,9116.0,164700
1420.0,신정동,942625,1946625,78.59574984820887,9116.0,164700
1341.0,신정동,942625,1946875,74.2231693989071,9116.0,164700
1732.0,신정동,942625,1947125,95.86467516697024,9116.0,164700
1277.0,신월동,942625,1947375,81.17808042063527,7375.0,116015
1751.0,신정동,942625,1947625,96.91630843958713,9116.0,164700
515.0,,942625,1947875,,,0
431.0,신정동,942875,1945875,23.855470552519733,9116.0,164700
3752.0,신정동,942875,1946125,207.66989678202793,9116.0,164700
1590.0,신정동,942875,1946375,88.00510018214936,9116.0,164700
702.0,신정동,942875,1946625,38.85508196721312,9116.0,164700
997.0,신정동,942875,1946875,55.18307225258045,9116.0,164700
1327.0,신정동,942875,1947125,73.4482817243473,9116.0,164700
2592.0,신정동,942875,1947375,143.4649180327869,9116.0,164700
3383.0,신정동,942875,1947625,187.2460716454159,9116.0,164700
794.0,신정동,942875,1947875,43.94720097146327,9116.0,164700
,,943125,1945625,,,0
,신정동,943125,1945875,,9116.0,164700
1435.0,신정동,943125,1946125,79.42598664238008,9116.0,164700
,신정동,943125,1946375,,9116.0,164700
2174.0,신정동,943125,1946625,120.32898603521555,9116.0,164700
2862.0,신정동,943125,1946875,158.40918032786885,9116.0,164700
1773.0,신정동,943125,1947125,98.13398907103826,9116.0,164700
3001.0,신정동,943125,1947375,166.1027079538555,9116.0,164700
2546.0,신정동,943125,1947625,140.91885853066182,9116.0,164700
1104.0,신정동,943125,1947875,61.10542805100182,9116.0,164700
,,943375,1945375,,,0
705.0,,943375,1945625,,,0
1150.0,신정동,943375,1945875,63.6514875531269,9116.0,164700
1961.0,신정동,943375,1946125,108.53962355798421,9116.0,164700
2329.0,신정동,943375,1946375,128.90809957498482,9116.0,164700
1659.0,신정동,943375,1946625,91.82418943533698,9116.0,164700
2080.0,신정동,943375,1946875,115.12616879174256,9116.0,164700
1764.0,신정동,943375,1947125,97.63584699453551,9116.0,164700
2198.0,신정동,943375,1947375,121.6573649058895,9116.0,164700
1855.0,신정동,943375,1947625,102.67261687917426,9116.0,164700
1743.0,신정동,943375,1947875,96.47351548269582,9116.0,164700
583.0,,943625,1945375,,,0
2069.0,신정동,943625,1945625,114.517328476017,9116.0,164700
2866.0,신정동,943625,1945875,158.6305768063145,9116.0,164700
3100.0,신정동,943625,1946125,171.58227079538554,9116.0,164700
2497.0,신정동,943625,1946375,138.2067516697025,9116.0,164700
1521.0,신정동,943625,1946625,84.18601092896175,9116.0,164700
1959.0,신정동,943625,1946875,108.42892531876139,9116.0,164700
1180.0,신정동,943625,1947125,65.31196114146934,9116.0,164700
2258.0,신정동,943625,1947375,124.97831208257438,9116.0,164700
1539.0,신정동,943625,1947625,85.18229508196721,9116.0,164700
1519.0,신정동,943625,1947875,84.07531268973892,9116.0,164700
,,943625,1948125,,,0
56.0,,943625,1949375,,,0
601.0,,943625,1949625,,,0
123.0,,943625,1949875,,,0
,,943625,1950125,,,0
2563.0,신정동,943875,1945375,141.85979356405585,9116.0,164700
3019.0,신정동,943875,1945625,167.09899210686095,9116.0,164700
1039.0,신정동,943875,1945875,57.507735276259865,9116.0,164700
1970.0,신정동,943875,1946125,109.03776563448695,9116.0,164700
1816.0,신정동,943875,1946375,100.51400121432908,9116.0,164700
556.0,신정동,943875,1946625,30.77411050394657,9116.0,164700
1990.0,신정동,943875,1946875,110.14474802671523,9116.0,164700
610.0,신정동,943875,1947125,33.762962962962966,9116.0,164700
1514.0,신정동,943875,1947375,83.79856709168185,9116.0,164700
1007.0,목동,943875,1947625,56.346208235131016,8072.0,144260
1781.0,목동,943875,1947875,99.65501178427839,8072.0,144260
1237.0,목동,943875,1948125,69.21574934146679,8072.0,144260
1630.0,목동,943875,1948375,91.2058782753362,8072.0,144260
2287.0,목동,943875,1948625,127.96800221821711,8072.0,144260
2282.0,목동,943875,1948875,127.68822958547068,8072.0,144260
2235.0,목동,943875,1949125,125.05836683765423,8072.0,144260
3112.0,목동,943875,1949375,174.13048662137805,8072.0,144260
3176.0,목동,943875,1949625,177.71157632053237,8072.0,144260
2421.0,목동,943875,1949875,135.46590877582145,8072.0,144260
1835.0,목동,943875,1950125,102.67655621793983,8072.0,144260
590.0,목동,943875,1950375,33.01317066407875,8072.0,144260
386.0,신정동,944125,1945375,21.364760170006072,9116.0,164700
2504.0,신정동,944125,1945625,138.5941955069824,9116.0,164700
1836.0,신정동,944125,1945875,101.62098360655737,9116.0,164700
401.0,신정동,944125,1946125,22.194996964177292,9116.0,164700
1998.0,신정동,944125,1946375,110.58754098360656,9116.0,164700
483.0,신정동,944125,1946625,26.7336247723133,9116.0,164700
540.0,신정동,944125,1946875,29.888524590163936,9116.0,164700
3679.0,신정동,944125,1947125,203.62941105039465,9116.0,164700
1307.0,목동,944125,1947375,73.13256619991682,8072.0,144260
1637.0,목동,944125,1947625,91.5975599611812,8072.0,144260
2773.0,목동,944125,1947875,155.1619021211701,8072.0,144260
1555.0,목동,944125,1948125,87.00928878413974,8072.0,144260
3200.0,목동,944125,1948375,179.05448495771523,8072.0,144260
3486.0,목동,944125,1948625,195.05747955081102,8072.0,144260
2575.0,목동,944125,1948875,144.0829058644115,8072.0,144260
2580.0,목동,944125,1949125,144.3626784971579,8072.0,144260
3075.0,목동,944125,1949375,172.0601691390545,8072.0,144260
2450.0,목동,944125,1949625,137.08859004575072,8072.0,144260
3553.0,목동,944125,1949875,198.8064328296132,8072.0,144260
1045.0,목동,944125,1950125,58.47248024400388,8072.0,144260
,,944125,1950375,,,0
,,944375,1945125,,,0
,신정동,944375,1945375,,9116.0,164700
0.0,신정동,944375,1945625,0.0,9116.0,164700
239.0,신정동,944375,1945875,13.228439587128111,9116.0,164700
1175.0,신정동,944375,1946125,65.03521554341226,9116.0,164700
1545.0,신정동,944375,1946375,85.51438979963571,9116.0,164700
1815.0,신정동,944375,1946625,100.45865209471766,9116.0,164700
839.0,신정동,944375,1946875,46.43791135397693,9116.0,164700
2342.0,신정동,944375,1947125,129.62763812993322,9116.0,164700
4750.0,목동,944375,1947375,265.78400110910854,8072.0,144260
2965.0,목동,944375,1947625,165.90517121863303,8072.0,144260
1973.0,목동,944375,1947875,110.3982808817413,8072.0,144260
868.0,목동,944375,1948125,48.568529044780256,8072.0,144260
1747.0,목동,944375,1948375,97.75255788160266,8072.0,144260
2336.0,목동,944375,1948625,130.7097740191321,8072.0,144260
3606.0,목동,944375,1948875,201.77202273672535,8072.0,144260
2770.0,목동,944375,1949125,154.99403854152226,8072.0,144260
2771.0,목동,944375,1949375,155.04999306807153,8072.0,144260
2591.0,목동,944375,1949625,144.97817828920006,8072.0,144260
1952.0,목동,944375,1949875,109.2232358242063,8072.0,144260
,,944375,1950125,,,0
,신정동,944625,1945125,,9116.0,164700
,신정동,944625,1945375,,9116.0,164700
,신정동,944625,1945625,,9116.0,164700
,신정동,944625,1945875,,9116.0,164700
402.0,신정동,944625,1946125,22.250346083788706,9116.0,164700
2553.0,신정동,944625,1946375,141.30630236794173,9116.0,164700
2521.0,신정동,944625,1946625,139.53513054037643,9116.0,164700
1948.0,신정동,944625,1946875,107.82008500303583,9116.0,164700
2170.0,신정동,944625,1947125,120.10758955676988,9116.0,164700
1854.0,목동,944625,1947375,103.73969222237626,8072.0,144260
