left,bottom,동물병원개수,약국개수
940818.2212,1948650.9498,0,0
940818.2212,1948900.9498,0,0
940818.2212,1947150.9498,0,0
940818.2212,1947400.9498,0,0
940818.2212,1947650.9498,0,0
940818.2212,1947900.9498,1,0
942068.2212,1947650.9498,0,0
942068.2212,1946650.9498,0,0
942068.2212,1946900.9498,1,0
942068.2212,1947150.9498,0,0
942068.2212,1947400.9498,0,0
941818.2212,1947150.9498,2,0
941818.2212,1947400.9498,0,1
941818.2212,1947650.9498,0,0
941818.2212,1946150.9498,0,0
941818.2212,1946400.9498,0,0
941818.2212,1946650.9498,1,3
941818.2212,1946900.9498,0,0
941818.2212,1945150.9498,0,0
941818.2212,1945400.9498,0,0
941818.2212,1945650.9498,0,0
941818.2212,1945900.9498,0,0
941568.2212,1946650.9498,1,0
941568.2212,1946900.9498,0,0
941568.2212,1947150.9498,0,0
941568.2212,1947400.9498,0,1
941568.2212,1945650.9498,0,0
941568.2212,1945900.9498,0,0
941568.2212,1946150.9498,0,0
941568.2212,1946400.9498,1,1
941568.2212,1945150.9498,0,0
941568.2212,1945400.9498,0,0
941318.2212,1945150.9498,0,0
941318.2212,1945400.9498,0,0
941318.2212,1945650.9498,0,0
941318.2212,1945900.9498,0,0
941318.2212,1944900.9498,0,0
941568.2212,1947650.9498,0,0
941568.2212,1947900.9498,0,0
942818.2212,1947150.9498,0,0
942818.2212,1947400.9498,0,0
942818.2212,1947650.9498,0,0
942818.2212,1947900.9498,0,0
942568.2212,1947650.9498,0,0
942568.2212,1946650.9498,0,0
942568.2212,1946900.9498,0,3
942568.2212,1947150.9498,1,1
942568.2212,1947400.9498,0,0
942568.2212,1945650.9498,0,0
942568.2212,1945900.9498,0,0
942568.2212,1946150.9498,0,0
942568.2212,1946400.9498,0,0
942318.2212,1947150.9498,0,0
942318.2212,1947400.9498,0,0
942318.2212,1947650.9498,0,0
942318.2212,1946150.9498,0,0
942318.2212,1946400.9498,0,0
942318.2212,1946650.9498,0,1
942318.2212,1946900.9498,0,0
942318.2212,1945650.9498,0,0
942318.2212,1945900.9498,0,0
942068.2212,1945650.9498,0,0
942068.2212,1945900.9498,0,0
942068.2212,1946150.9498,0,0
942068.2212,1946400.9498,0,0
942068.2212,1945150.9498,0,0
942068.2212,1945400.9498,0,0
943318.2212,1945400.9498,0,0
943318.2212,1945650.9498,0,0
943318.2212,1945900.9498,0,0
943568.2212,1949650.9498,1,0
943568.2212,1949900.9498,0,0
943568.2212,1950150.9498,0,0
943568.2212,1948650.9498,0,0
943568.2212,1948900.9498,0,0
943568.2212,1949150.9498,1,0
943568.2212,1949400.9498,1,0
943568.2212,1947650.9498,0,3
943568.2212,1947900.9498,0,1
943568.2212,1948150.9498,0,0
943568.2212,1948400.9498,1,0
943318.2212,1947150.9498,1,0
943318.2212,1947400.9498,1,2
943318.2212,1947650.9498,0,0
943318.2212,1947900.9498,0,0
943318.2212,1946150.9498,0,0
943318.2212,1946400.9498,1,1
943318.2212,1946650.9498,0,0
943318.2212,1946900.9498,1,0
943068.2212,1947650.9498,0,0
943068.2212,1947900.9498,0,0
943068.2212,1946650.9498,0,0
943068.2212,1946900.9498,1,1
943068.2212,1947150.9498,0,0
943068.2212,1947400.9498,0,0
943068.2212,1945650.9498,0,0
943068.2212,1945900.9498,0,0
943068.2212,1946150.9498,0,0
943068.2212,1946400.9498,0,0
942818.2212,1946150.9498,0,1
942818.2212,1946400.9498,1,0
942818.2212,1946650.9498,1,0
942818.2212,1946900.9498,0,0
