fid,left,bottom,동물병원개수,약국개수
"239",940818.2212,1949400.9498,0,0
"240",940818.2212,1949650.9498,0,0
"241",940818.2212,1948150.9498,0,1
"242",940818.2212,1948400.9498,0,0
"243",940818.2212,1948650.9498,0,0
"244",940818.2212,1948900.9498,0,0
"245",940818.2212,1947150.9498,0,0
"246",940818.2212,1947400.9498,0,0
"247",940818.2212,1947650.9498,0,0
"248",940818.2212,1947900.9498,1,0
"249",942068.2212,1947650.9498,0,0
"250",942068.2212,1946650.9498,0,0
"251",942068.2212,1946900.9498,1,0
"252",942068.2212,1947150.9498,0,0
"253",942068.2212,1947400.9498,0,0
"254",941818.2212,1947150.9498,2,0
"255",941818.2212,1947400.9498,0,1
"256",941818.2212,1947650.9498,0,0
"257",941818.2212,1946150.9498,0,0
"258",941818.2212,1946400.9498,0,0
"259",941818.2212,1946650.9498,1,3
"260",941818.2212,1946900.9498,0,0
"261",941818.2212,1945150.9498,0,0
"262",941818.2212,1945400.9498,0,0
"263",941818.2212,1945650.9498,0,0
"264",941818.2212,1945900.9498,0,0
"265",941568.2212,1946650.9498,1,0
"266",941568.2212,1946900.9498,0,0
"267",941568.2212,1947150.9498,0,0
"268",941568.2212,1947400.9498,0,1
"269",941568.2212,1945650.9498,0,0
"270",941568.2212,1945900.9498,0,0
"271",941568.2212,1946150.9498,0,0
"272",941568.2212,1946400.9498,1,1
"273",941568.2212,1945150.9498,0,0
"274",941568.2212,1945400.9498,0,0
"275",941318.2212,1945150.9498,0,0
"276",941318.2212,1945400.9498,0,0
"277",941318.2212,1945650.9498,0,0
"278",941318.2212,1945900.9498,0,0
"279",941318.2212,1944900.9498,0,0
"280",941568.2212,1947650.9498,0,0
"281",941568.2212,1947900.9498,0,0
"282",942818.2212,1947150.9498,0,0
"283",942818.2212,1947400.9498,0,0
"284",942818.2212,1947650.9498,0,0
"285",942818.2212,1947900.9498,0,0
"286",942568.2212,1947650.9498,0,0
"287",942568.2212,1946650.9498,0,0
"288",942568.2212,1946900.9498,0,3
"289",942568.2212,1947150.9498,1,1
"290",942568.2212,1947400.9498,0,0
"291",942568.2212,1945650.9498,0,0
"292",942568.2212,1945900.9498,0,0
"293",942568.2212,1946150.9498,0,0
"294",942568.2212,1946400.9498,0,0
"295",942318.2212,1947150.9498,0,0
"296",942318.2212,1947400.9498,0,0
"297",942318.2212,1947650.9498,0,0
"298",942318.2212,1946150.9498,0,0
"299",942318.2212,1946400.9498,0,0
"300",942318.2212,1946650.9498,0,1
"301",942318.2212,1946900.9498,0,0
"302",942318.2212,1945650.9498,0,0
"303",942318.2212,1945900.9498,0,0
"304",942068.2212,1945650.9498,0,0
"305",942068.2212,1945900.9498,0,0
"306",942068.2212,1946150.9498,0,0
"307",942068.2212,1946400.9498,0,0
"308",942068.2212,1945150.9498,0,0
"309",942068.2212,1945400.9498,0,0
"310",943318.2212,1945400.9498,0,0
"311",943318.2212,1945650.9498,0,0
"312",943318.2212,1945900.9498,0,0
"313",943568.2212,1949650.9498,1,0
"314",943568.2212,1949900.9498,0,0
"315",943568.2212,1950150.9498,0,0
"316",943568.2212,1948650.9498,0,0
"317",943568.2212,1948900.9498,0,0
"318",943568.2212,1949150.9498,1,0
"319",943568.2212,1949400.9498,1,0
"320",943568.2212,1947650.9498,0,3
"321",943568.2212,1947900.9498,0,1
"322",943568.2212,1948150.9498,0,0
"323",943568.2212,1948400.9498,1,0
"324",943318.2212,1947150.9498,1,0
"325",943318.2212,1947400.9498,1,2
"326",943318.2212,1947650.9498,0,0
"327",943318.2212,1947900.9498,0,0
"328",943318.2212,1946150.9498,0,0
"329",943318.2212,1946400.9498,1,1
"330",943318.2212,1946650.9498,0,0
"331",943318.2212,1946900.9498,1,0
"332",943068.2212,1947650.9498,0,0
"333",943068.2212,1947900.9498,0,0
"334",943068.2212,1946650.9498,0,0
"335",943068.2212,1946900.9498,1,1
"336",943068.2212,1947150.9498,0,0
"337",943068.2212,1947400.9498,0,0
"338",943068.2212,1945650.9498,0,0
"339",943068.2212,1945900.9498,0,0
"340",943068.2212,1946150.9498,0,0
"341",943068.2212,1946400.9498,0,0
"342",942818.2212,1946150.9498,0,1
"343",942818.2212,1946400.9498,1,0
"344",942818.2212,1946650.9498,1,0
"345",942818.2212,1946900.9498,0,0
