공원명,위도,경도,중심점인덱스,중심점위도,중심점경도
목마공원,37.538174,126.885602,332,37.5375934785447,126.884523498133
곰달래근린공원,37.524905,126.833211,74,37.523797515801,126.833710824034
독서공원,37.519757,126.83485,72,37.5192910044423,126.833750898575
신월공원,37.518137,126.834492,71,37.5170377474565,126.833770932499
양지근린공원,37.5222,126.831005,52,37.5215282672583,126.830901870394
오솔길공원,37.521151,126.836556,91,37.5215601861007,126.836559856677
한울근린공원,37.519799,126.832525,51,37.5192750124373,126.830921991608
신트리공원,37.514612,126.856483,164,37.5149099663284,126.856420938725
계남공원,37.514104,126.850051,145,37.5148790035838,126.850763431974
넘은들공원,37.513034,126.840467,103,37.5125630039199,126.839468304033
연의공원,37.512717,126.833542,69,37.5125312308723,126.833810993654
양천공원,37.518012,126.868162,224,37.5172243518882,126.867716966811
갈산공원,37.50836,126.869014,220,37.5082112548542,126.867792998904
신월2동소공원,37.517649,126.848293,137,37.5171166848446,126.847915075363
신월6동소공원1,37.517261,126.843217,117,37.5170853131236,126.842257411601
신월6동소공원2,37.516725,126.844484,127,37.5171010328566,126.845086242385
신월6동소공원3,37.515737,126.843973,126,37.51484776988,126.845105933917
신정소공원,37.506192,126.833035,66,37.5057714494645,126.833871068661
신정7동소공원,37.510721,126.869612,243,37.5104796367731,126.870602589135
파리공원,37.535016,126.877154,293,37.5352956602374,126.876053399896
장수공원,37.522468,126.847043,139,37.5216232107189,126.84787585583
온수도시자연공원,37.514628,126.836199,88,37.5148004112786,126.836619703301
안양천공원,37.522877,126.879048,303,37.5217909385109,126.878995031848
서서울호수공원,37.528443,126.830473,55,37.528288026495,126.830841493309
양천도시농업공원,37.512982,126.826174,10,37.5124830633012,126.825325044836
