fid,val,위도,경도,가장가까운인프라지수
"164",1435,37.5126566974492,126.856440287938,0
"165",,37.5149099663284,126.856420938726,0
"166",2174,37.5171632343373,126.856401587358,0
"167",2862,37.5194165014759,126.856382233836,0.35
"168",1773,37.5216697677442,126.856362878158,0
"169",3001,37.5239230331421,126.856343520325,0
"170",2546,37.5261762976697,126.856324160336,0
"171",1104,37.5284295613269,126.856304798192,0
"172",,37.5059122603755,126.85932673919,0
"173",705,37.5081655331095,126.859307481444,0
"174",1150,37.5104188049734,126.859288221553,0
"175",1961,37.5126720759671,126.859268959518,0
"176",2329,37.5149253460906,126.859249695338,0.35
"177",1659,37.5171786153439,126.859230429013,0
"178",2080,37.5194318837269,126.859211160542,0.25
"179",1764,37.5216851512397,126.859191889925,0.25
"180",2198,37.5239384178822,126.859172617162,0.45
"181",1855,37.5261916836545,126.859153342253,0
"182",1743,37.5284449485564,126.859134065197,0
"183",583,37.5059275674425,126.862155157874,0
"184",2069,37.5081808414151,126.862135985132,0
"185",2866,37.5104341145177,126.862116810255,0
"186",3100,37.5126873867501,126.862097633243,0
"187",2497,37.5149406581125,126.862078454096,0.2
"188",1521,37.5171939286046,126.862059272813,0
"189",1959,37.5194471982267,126.862040089393,0
"190",1180,37.5217004669785,126.862020903837,0
"191",2258,37.5239537348601,126.862001716145,0
"192",1539,37.5262070018715,126.861982526316,0.3
"193",1519,37.5284602680127,126.86196333435,0.1
"194",,37.5307135332836,126.861944140246,0
"195",56,37.5419798465838,126.86184813766,0.25
"196",601,37.5442331066327,126.861828930727,0.25
"197",123,37.5464863658113,126.861809721655,0
"198",,37.5487396241195,126.861790510444,0
"199",2563,37.5059428067911,126.864983578692,0.25
"200",3019,37.5081960819968,126.864964490955,0
"201",1039,37.5104493563325,126.864945401093,0
"202",1970,37.5127026297982,126.864926309104,0
"203",1816,37.5149559023939,126.864907214989,0
"204",556,37.5172091741195,126.864888118748,0.35
"205",1990,37.519462444975,126.864869020381,0
"206",610,37.5217157149604,126.864849919886,0
"207",1514,37.5239689840756,126.864830817265,0.25
"208",1007,37.5262222523208,126.864811712516,0.1
"209",1781,37.5284755196957,126.86479260564,0.25
"210",1237,37.5307287862005,126.864773496635,0.55
"211",1630,37.532982051835,126.864754385503,0
"212",2287,37.5352353165994,126.864735272242,0
"213",2282,37.5374885804935,126.864716156853,0.25
"214",2235,37.5397418435174,126.864697039334,0
"215",3112,37.5419951056709,126.864677919687,0
"216",3176,37.5442483669542,126.86465879791,0
"217",2421,37.5465016273672,126.864639674004,0.5
"218",1835,37.5487548869098,126.864620547968,0.2
"219",590,37.5510081455821,126.864601419802,0.2
"220",386,37.5059579784209,126.867812001637,0
"221",2504,37.5082112548543,126.867792998904,0
"222",1836,37.5104645304177,126.867773994056,0
"223",401,37.5127178051112,126.867754987091,0
"224",1998,37.5149710789347,126.867735978009,0
"225",483,37.5172243518882,126.867716966811,0
"226",540,37.5194776239717,126.867697953496,0.1
"227",3679,37.5217308951852,126.867678938063,0
"228",1307,37.5239841655286,126.867659920512,0.2
"229",1637,37.526237435002,126.867640900844,0
"230",2773,37.5284907036052,126.867621879057,0
"231",1555,37.5307439713384,126.867602855152,0.25
"232",3200,37.5329972382014,126.867583829129,0.25
"233",3486,37.5352505041942,126.867564800986,0.2
"234",2575,37.5375037693169,126.867545770725,0.1
"235",2580,37.5397570335694,126.867526738344,0
"236",3075,37.5420102969517,126.867507703844,0
"237",2450,37.5442635594638,126.867488667223,0
"238",3553,37.5465168211057,126.867469628483,0.25
"239",1045,37.5487700818773,126.867450587622,0.45
"240",,37.5510233417786,126.86743154464,0.45
"241",,37.5037198038065,126.870659342317,0
"242",,37.5059730823319,126.870640426697,0
"243",0,37.5082263599874,126.870621508969,0
"244",239,37.5104796367731,126.870602589135,0
"245",1175,37.5127329126889,126.870583667194,0
"246",1545,37.5149861877348,126.870564743146,0.35
"247",1815,37.5172394619108,126.870545816991,0.35
"248",839,37.5194927352168,126.870526888727,0
"249",2342,37.5217460076529,126.870507958356,0
"250",4750,37.5239992792189,126.870489025877,0.35
"251",2965,37.526252549915,126.87047009129,0.1
"252",1973,37.5285058197411,126.870451154593,0
"253",868,37.5307590886971,126.870432215788,0
"254",1747,37.5330123567831,126.870413274874,0
"255",2336,37.535265623999,126.87039433185,0.35
"256",3606,37.5375188903447,126.870375386717,0
"257",2770,37.5397721558204,126.870356439473,0
"258",2771,37.542025420426,126.87033749012,0.35
"259",2591,37.5442786841614,126.870318538656,0
"260",1952,37.5465319470266,126.870299585082,0.25
"261",,37.5487852090217,126.870280629396,0.25
"262",,37.5037348387819,126.873487684488,0
"263",,37.5059881185239,126.873468853863,0
"264",,37.5082413973961,126.873450021141,0
"265",,37.5104946753985,126.873431186322,0
"266",402,37.5127479525312,126.873412349405,0
"267",2553,37.5150012287939,126.87339351039,0
"268",2521,37.5172545041869,126.873374669278,0.1
"269",1948,37.51950777871,126.873355826067,0.25
"270",2170,37.5217610523631,126.873336980758,0.2
"271",1854,37.5240143251464,126.873318133351,0.1
"272",4514,37.5262675970597,126.873299283844,0
"273",,37.5285208681031,126.873280432238,0.25
"274",444,37.5307741382765,126.873261578533,0
"275",2490,37.53302740758,126.873242722728,0.25
"276",1835,37.5352806760134,126.873223864823,0.1
"277",1869,37.5375339435768,126.873205004818,0
"278",1354,37.5397872102702,126.873186142713,0
"279",2504,37.5420404760935,126.873167278507,0
"280",2774,37.5442937410468,126.8731484122,0
"281",1144,37.5465470051299,126.873129543792,0
"282",,37.5082563670801,126.87627853541,0
"283",,37.5105096462939,126.876259785605,0
"284",,37.5127629246378,126.876241033713,0
"285",2997,37.515016202112,126.876222279733,0
"286",3126,37.5172694787165,126.876203523664,0
"287",3317,37.5195227544511,126.876184765506,0
"288",2902,37.5217760293159,126.876166005259,0.2
"289",1802,37.5240293033108,126.876147242923,0
"290",436,37.526282576436,126.876128478498,0.1
"291",1683,37.5285358486912,126.876109711983,0.35
"292",956,37.5307891200766,126.876090943378,0
"293",1256,37.533042390592,126.876072172682,0
"294",1035,37.5352956602375,126.876053399897,0.25
"295",2004,37.537548929013,126.87603462502,0
"296",1681,37.5398021969186,126.876015848053,0
"297",1229,37.5420554639542,126.875997068994,0
"298",2077,37.5443087301198,126.875978287844,0.25
"299",1438,37.5465619954154,126.875959504603,0
"300",,37.5127778290087,126.87906972011,0
"301",,37.5150311076889,126.879051051163,0
"302",,37.5172843854993,126.879032380138,0
"303",,37.51953766244,126.879013707033,0
"304",1159,37.521790938511,126.878995031849,0
"305",451,37.5240442137122,126.878976354585,0
"306",,37.5262974880436,126.878957675241,0
"307",,37.5285507615052,126.878938993817,0
"308",,37.530804034097,126.878920310312,0
"309",2331,37.5330573058189,126.878901624727,0
"310",1853,37.535310576671,126.878882937061,0.35
"311",1156,37.5375638466532,126.878864247313,0
"312",2012,37.5398171157655,126.878845555484,0
"313",866,37.5420703840079,126.878826861573,0
"314",131,37.5443236513803,126.878808165581,0
"315",357,37.5465769178828,126.878789467506,0
"316",,37.5488301835154,126.878770767349,0
"317",,37.5263123318824,126.881786874065,0
"318",,37.5285656065449,126.881768277732,0
"319",,37.5308188803376,126.881749679328,0
"320",1220,37.5330721532606,126.881731078853,0
"321",1964,37.5353254253138,126.881712476306,0
"322",1665,37.5375786964971,126.881693871687,0
"323",2718,37.5398319668107,126.881675264997,0
"324",3703,37.5420852362544,126.881656656234,0
"325",1434,37.5443385048282,126.881638045399,0
"326",242,37.5465917725322,126.881619432492,0
"327",,37.5488450393662,126.881600817511,0
"328",,37.5263271079523,126.884616074959,0
"329",,37.5285803838102,126.884597563717,0
"330",,37.5308336587984,126.884579050414,0
"331",2887,37.5330869329169,126.88456053505,0
"332",1957,37.5353402061656,126.884542017623,0.2
"333",227,37.5375934785447,126.884523498134,0
"334",,37.539846750054,126.884504976582,0
"335",,37.5421000206935,126.884486452968,0
"336",,37.5443532904633,126.884467927291,0
"337",,37.5466065593632,126.88444939955,0
"338",,37.5285950933009,126.887426851765,0
"339",,37.5308483694791,126.887408423563,0
"340",,37.5331016447876,126.887389993309,0
"341",,37.5353549192265,126.887371561002,0
"342",,37.5376081927958,126.887353126643,0
"343",,37.5398614654954,126.88733469023,0
"344",,37.5308630123795,126.890237798764,0
"345",,37.5331162888727,126.89021945362,0
"346",,37.5353695644962,126.890201106434,0
