정류장_ID,정류장_명칭,위도,경도
114000157,서울남부지방법원.서울남부지방검찰청,37.52185,126.865932
114000158,오목교역.청학스포츠타운,37.523628,126.875315
114000159,현대아이파크아파트,37.521034,126.873257
114000160,목동중학교.서울출입국.외국인청,37.519877,126.870846
114000161,목동대학학원,37.524727,126.872863
114000162,목동7단지,37.525588,126.867124
114000163,제일은행앞,37.5193,126.8641
114000165,서울남부지방법원.서울남부지방검찰청,37.522194,126.863369
114000166,목동중학교,37.519063,126.870348
114000167,진명여고,37.524507,126.864574
114000168,우리은행신정동지점,37.521902,126.85871
114000169,목동역.목동오거리,37.525806,126.863107
114000170,신서고등학교.영상고등학교입구,37.525396,126.859973
114000171,신정역(은행정).신정4동주민센터,37.52463,126.854299
114000174,신정1동우체국,37.522153,126.861415
114000176,서울남부지방법원.서울남부지방검찰청,37.52253,126.864355
114000177,신정네거리역,37.521277,126.853432
114000178,신서고등학교.영상고등학교앞,37.522625,126.85945
114000179,제일여성병원,37.522473,126.851877
114000180,신정4동경서농협,37.521515,126.855172
114000181,목동역.홍익병원,37.52805,126.863915
114000182,목동역.목동오거리,37.525959,126.862791
114000183,신서고교.영상고교입구,37.525653,126.860399
114000184,신정역(은행정).신정4동주민센터,37.524902,126.854377
114000185,양강중학교,37.525068,126.850553
114000189,신월문화체육센터,37.519969,126.835249
114000190,신월동우성상가,37.52179,126.833838
114000191,중부운수앞,37.524104,126.83078
114000192,신월문화체육센터,37.520117,126.836198
114000193,신월동우성상가,37.521717,126.83399
114000194,국립과학수사연구소입구,37.522355,126.837035
114000195,신안파크아파트후문,37.523926,126.828836
114000196,신안파크아파트후문,37.5241,126.828906
114000197,국립과학수사연구소.고강동종점,37.523455,126.825779
114000198,신정1동주민센터.신오새마을금고,37.517603,126.853876
114000199,신정네거리역,37.519853,126.852822
114000200,신트리아파트,37.513032,126.853865
114000201,정랑고개.양천벤처타운,37.511661,126.849855
114000202,서부트럭터미널.신정동일하이빌아파트,37.510935,126.842363
114000203,강신중학교,37.515271,126.84036
114000204,남명초교.신정3동주민센터,37.515077,126.854913
114000205,금옥중.금옥여고.백암고등학교,37.509852,126.844583
114000206,양강중학교,37.524862,126.85028
114000207,양강중학교,37.52385,126.849502
114000208,신월2동주민센터입구.경창전통시장,37.523101,126.84604
114000209,강서초등학교,37.522025,126.841675
114000210,한빛종합사회복지관,37.521342,126.838743
114000211,과학수사연구소입구,37.521905,126.836962
114000212,서부트럭터미널.신정동일하이빌아파트,37.510088,126.8424
114000213,신정현대아파트.서부트럭터미널,37.50836,126.842984
114000214,넓은들공원,37.510795,126.839199
114000215,넓은들공원,37.511066,126.838648
114000216,신정현대아파트,37.508781,126.842139
114000217,신정숲속마을아파트,37.506447,126.834138
114000218,신정숲속마을아파트.댓골마을입구,37.506761,126.835613
114000219,양천중앙도서관.푸른마을2단지,37.514191,126.834091
114000220,양천중앙도서관.푸른마을2단지,37.514032,126.833988
114000221,신월시영아파트.강월초등학교,37.515731,126.83553
114000222,신월시영아파트.강월초등학교,37.515937,126.835305
114000223,강월초교입구사거리,37.51636,126.837784
114000224,강월초교입구사거리,37.516693,126.837858
114000225,금실어린이공원,37.517954,126.837774
114000226,금실어린이공원,37.517429,126.837853
114000227,강신중학교,37.515863,126.839809
114000228,양서중학교,37.531548,126.830955
114000229,신월1동주민센터.신월보건지소,37.532183,126.83105
114000230,신월3동주민센터.신월3동우체국,37.534665,126.828829
114000231,서부여성발전센터,37.535164,126.829012
114000232,가로공원공영주차장.신영시장,37.536378,126.833023
114000233,국민은행신월동지점,37.535805,126.829107
114000234,서서울호수공원,37.529035,126.832572
114000235,서서울호수공원,37.529251,126.832921
114000236,하나은행신월동지점,37.530478,126.837995
114000237,가로공원공영주차장,37.536653,126.832582
114000238,양원초교.광영여고,37.539025,126.823507
114000239,국민은행신월동지점,37.536215,126.829604
114000240,메디힐병원.서울금융고등학교,37.536993,126.827777
114000241,신화중학교,37.539653,126.83135
114000242,신월5동주민센터.신월중학교,37.539478,126.827532
114000243,신월5동주민센터.신월중학교,37.539253,126.827617
114000244,신월중학교입구,37.539898,126.825283
114000245,신월중학교입구,37.540132,126.82566
114000246,광영고.신동아파밀리에아파트,37.539358,126.823362
114000247,서울금융고등학교,37.53732,126.827025
114000248,신화중학교,37.539355,126.830763
114000249,경창빌딩,37.51866,126.838582
114000250,신월시영아파트중문,37.519088,126.836715
114000251,신월시영아파트중문,37.519083,126.83658
114000252,목원초등학교.서울지방식품의약품안전청,37.543038,126.881355
114000253,양천노인종합복지관,37.510413,126.859079
114000254,양명초등학교,37.516086,126.857243
114000255,신목동역-서울지방식품의약품안전청,37.543635,126.88336
114000256,목동파라곤,37.530069,126.875521
114000257,신정현대아파트.서부트럭터미널,37.509011,126.842007
114000258,대일관광고.푸른마을3단지,37.51118,126.836222
114000259,대일관광고.푸른마을3단지,37.511319,126.835885
114000260,신정현대아파트,37.508637,126.841074
114000261,신월문화체육센터,37.520513,126.836879
114000262,목동아파트1102동앞,37.511596,126.860129
114000263,트럭터미널주유소앞,37.509088,126.841544
114000264,목동아파트1434동앞,37.515655,126.871975
114000265,신월동기점,37.529477,126.838529
114000267,양천공영차고지,37.508493,126.837219
114000268,국립과학수사연구소.고강동종점,37.523548,126.825713
114000270,신월동기점,37.529577,126.838662
114000271,양천공영차고지,37.508701,126.837646
114000273,금옥여자중고등학교,37.509882,126.844667
114000276,양천고등학교,37.509688,126.84486
114000280,정랑고개,37.511516,126.849466
114000281,댓골마을입구,37.50646,126.83676
114000282,댓골마을입구,37.506701,126.836766
114000283,푸른마을1단지.이든채아파트,37.512653,126.835388
114000285,중부운수앞,37.52422,126.830779
114000286,신트리아파트,37.512851,126.854115
114000287,정랑고개,37.511598,126.850447
114000288,푸른마을1단지.이든채아파트,37.512878,126.83488
