공원명,공원구분,위도,경도,공원면적,좌표
용왕산공원,근린공원,37.543358,126.878788,213552.0,POINT(126.878788 37.543358)
계남공원,근린공원,37.514104,126.850051,440173.0,POINT(126.850051 37.514104)
갈산공원,근린공원,37.50836,126.869014,139576.0,POINT(126.869014 37.508360)
서서울호수공원,문화공원,37.528443,126.830473,217946.0,POINT(126.830473 37.528443)
