정류장 히트맵,위도,경도,가중치 적용 정류장 점수,주차장 히트맵,가중치 적용 주차장 점수,접근성 지수,정규화된 접근성 지수,rank
1.97891,37.5395382,126.8279111,3.95782,0.53299,4.26392,8.22174,0.27930236745287346,55.0
1.6338,37.5217309,126.8676789,3.2676,0.60893,4.87144,8.13904,0.27649294927760243,56.0
4.06249,37.5262676,126.8732993,8.12498,0.0,0.0,8.12498,0.2760153142166072,57.0
3.96882,37.5443385,126.881638,7.93764,0.0,0.0,7.93764,0.2696511497552375,58.0
0.0,37.53282646,126.8364601,0.0,0.96069,7.68552,7.68552,0.2610863310085709,59.0
2.3928,37.53305731,126.8789016,4.7856,0.3417,2.7336,7.5192,0.255436241154749,60.0
1.0106,37.52174601,126.870508,2.0212,0.68094,5.44752,7.468719999999999,0.2537213750182595,61.0
0.45758,37.519291,126.8337509,0.91516,0.79554,6.36432,7.27948,0.24729266527837698,62.0
3.59567,37.52156019,126.8365599,7.19134,0.00042,0.00336,7.1947,0.24441258700873397,63.0
3.54811,37.5104188,126.8592882,7.09622,0.0,0.0,7.09622,0.24106710330981393,64.0
3.54702,37.53301236,126.8704133,7.09404,0.0,0.0,7.09404,0.2409930460955202,65.0
3.3564,37.51933857,126.8422376,6.7128,0.0,0.0,6.7128,0.22804186610591537,66.0
3.31028,37.50804063,126.8366795,6.62056,0.0,0.0,6.62056,0.22490836269011133,67.0
3.25511,37.53955427,126.8307408,6.51022,0.0,0.0,6.51022,0.22115998056847405,68.0
0.08132,37.52379752,126.8337108,0.16264,0.78391,6.27128,6.43392,0.21856797806819375,69.0
3.21439,37.53751889,126.8703754,6.42878,0.0,0.0,6.42878,0.21839336610421684,70.0
0.2476,37.51728439,126.8790324,0.4952,0.74142,5.93136,6.426559999999999,0.2183179500419544,71.0
0.98421,37.52850582,126.8704512,1.96842,0.55129,4.41032,6.37874,0.21669344729538295,72.0
3.1814,37.52160756,126.8450469,6.3628,0.0,0.0,6.3628,0.21615194637985916,73.0
1.17419,37.53054128,126.8308214,2.34838,0.49712,3.97696,6.325340000000001,0.21487938525717898,74.0
2.12956,37.52619168,126.8591533,4.25912,0.24762,1.98096,6.240080000000001,0.21198300081191168,75.0
2.27356,37.52378152,126.8308817,4.54712,0.20796,1.66368,6.2108,0.210988324098829,76.0
3.10219,37.52171571,126.8648499,6.20438,0.0,0.0,6.20438,0.2107702289998539,77.0
3.10212,37.50818084,126.862136,6.20424,0.0,0.0,6.20424,0.2107654730319635,78.0
0.03468,37.53080403,126.8789203,0.06936,0.76409,6.11272,6.18208,0.21001267125730805,79.0
0.0,37.53276233,126.8251424,0.0,0.77043,6.16344,6.16344,0.2093794481038975,80.0
3.07509,37.51500123,126.8733935,6.15018,0.0,0.0,6.15018,0.20892899000227605,81.0
3.07391,37.52396898,126.8648308,6.14782,0.0,0.0,6.14782,0.20884881797212324,82.0
3.0637,37.50808798,126.845165,6.1274,0.0,0.0,6.1274,0.20815512608410588,83.0
1.73727,37.53756385,126.8788642,3.47454,0.32402,2.59216,6.0667,0.20609307429161555,84.0
1.28981,37.54654701,126.8731295,2.57962,0.4353,3.4824,6.06202,0.2059340890792786,85.0
3.00706,37.51249919,126.8281537,6.01412,0.0,0.0,6.01412,0.20430686863676975,86.0
0.44136,37.53506378,126.8336106,0.88272,0.63914,5.11312,5.99584,0.20368587511507744,87.0
2.93456,37.52401433,126.8733181,5.86912,0.0,0.0,5.86912,0.1993810447502607,88.0
2.92282,37.51943188,126.8592112,5.84564,0.0,0.0,5.84564,0.19858340099263844,89.0
2.91148,37.51478449,126.833791,5.82296,0.0,0.0,5.82296,0.19781293419439,90.0
2.89253,37.51723946,126.8705458,5.78506,0.00302,0.02416,5.80922,0.19734616991714424,91.0
2.88032,37.51264125,126.8536116,5.76064,0.0,0.0,5.76064,0.19569584905916765,92.0
2.78014,37.51705367,126.8365998,5.56028,0.0,0.0,5.56028,0.18888937958398866,93.0
2.07048,37.526207,126.8619825,4.14096,0.17047,1.36376,5.50472,0.1870019397554753,94.0
2.73953,37.51481627,126.8394484,5.47906,0.00166,0.01328,5.4923399999999996,0.18658137630916508,95.0
2.74315,37.51490997,126.8564209,5.4863,0.0,0.0,5.4863,0.18637619026589256,96.0
2.73728,37.51251524,126.8309823,5.47456,0.0,0.0,5.47456,0.18597736838708143,97.0
2.60392,37.51046453,126.867774,5.20784,0.0256,0.2048,5.41264,0.18387387173154598,98.0
1.22794,37.51726948,126.8762035,2.45588,0.36779,2.94232,5.3982,0.18338332761484813,99.0
2.67795,37.51257879,126.842297,5.3559,0.0,0.0,5.3559,0.1819463458879562,100.0
0.0,37.52842956,126.8563048,0.0,0.66612,5.32896,5.32896,0.18103116178104203,101.0
2.59517,37.51483205,126.8422772,5.19034,0.00857,0.06856,5.2589,0.1786511395638777,102.0
0.0,37.51927501,126.830922,0.0,0.6556,5.2448,5.2448,0.17817214565491374,103.0
2.61513,37.51254715,126.8366396,5.23026,0.0,0.0,5.23026,0.17767820441829418,104.0
2.6125,37.53952206,126.8250815,5.225,0.0,0.0,5.225,0.17749951591041113,105.0
2.59123,37.51270263,126.8649263,5.18246,0.0,0.0,5.18246,0.17605438109570704,106.0
0.47613,37.546562,126.8759595,0.95226,0.52127,4.17016,5.12242,0.17401475029470015,107.0
0.0,37.5260667,126.8365199,0.0,0.6403,5.1224,5.1224,0.1740140708707158,108.0
2.48159,37.51714779,126.8535727,4.96318,0.0,0.0,4.96318,0.16860517653133675,109.0
0.69481,37.52828803,126.8308415,1.38962,0.44642,3.57136,4.96098,0.16853043989305866,110.0
2.48044,37.54435329,126.8844679,4.96088,0.0,0.0,4.96088,0.16852704277313693,111.0
0.0,37.52844495,126.8591341,0.0,0.6106,4.8848,4.8848,0.16594251393668447,112.0
0.6139,37.54875489,126.8646205,1.2278,0.45034,3.60272,4.83052,0.16409855724316924,113.0
2.39859,37.53759348,126.8845235,4.79718,0.0,0.0,4.79718,0.16296595746126433,114.0
2.36659,37.54208524,126.8816567,4.73318,0.0,0.0,4.73318,0.1607918007113569,115.0
2.36095,37.53977216,126.8703564,4.7219,0.0,0.0,4.7219,0.1604086055841857,116.0
2.34022,37.5194165,126.8563822,4.68044,0.00012,0.00096,4.6814,0.15903277201588492,117.0
2.29521,37.51935429,126.8450665,4.59042,0.0,0.0,4.59042,0.15594207231109464,118.0
2.20034,37.53279453,126.8308012,4.40068,0.0,0.0,4.40068,0.14949637697160348,119.0
0.00296,37.54429374,126.8731484,0.00592,0.53574,4.28592,4.29184,0.14579895164879214,120.0
1.29275,37.52390758,126.8535144,2.5855,0.20898,1.67184,4.25734,0.14462694527579517,121.0
1.97287,37.52154426,126.8337309,3.94574,0.0381,0.3048,4.25054,0.1443959411211175,122.0
0.2681,37.52831995,126.8365,0.5362,0.45312,3.62496,4.161160000000001,0.14135959533507494,123.0
2.08043,37.5398022,126.8760158,4.16086,0.0,0.0,4.16086,0.1413494039753097,124.0
2.07912,37.51029389,126.8366596,4.15824,0.0,0.0,4.15824,0.14126039943336038,125.0
2.02291,37.53302741,126.8732427,4.04582,0.00946,0.07568,4.1215,0.14001229757411665,126.0
2.06058,37.51271781,126.867755,4.12116,0.0,0.0,4.12116,0.14000074736638277,127.0
0.77765,37.53730103,126.830761,1.5553,0.31489,2.51912,4.07442,0.138412933514966,128.0
2.02808,37.51268739,126.8620976,4.05616,0.0,0.0,4.05616,0.13779261941725804,129.0
2.02027,37.52157604,126.8393889,4.04054,0.0,0.0,4.04054,0.13726198928548375,130.0
1.96563,37.50578737,126.8366995,3.93126,0.0,0.0,3.93126,0.13354961663501683,131.0
0.0,37.51711668,126.8479151,0.0,0.49035,3.9228,3.9228,0.13326222028963844,132.0
1.94861,37.51716323,126.8564016,3.89722,0.0,0.0,3.89722,0.13239323701365982,133.0
1.92376,37.51262574,126.850783,3.84752,0.0,0.0,3.84752,0.13070486841255982,134.0
1.92108,37.5126567,126.8564403,3.84216,0.0,0.0,3.84216,0.13052278278475507,135.0
0.5676,37.5261763,126.8563242,1.1352,0.33471,2.67768,3.81288,0.12952810607167242,136.0
1.89864,37.53981712,126.8788456,3.79728,0.0,0.0,3.79728,0.1289981553638825,137.0
1.89316,37.51043411,126.8621168,3.78632,0.0,0.0,3.78632,0.12862583102046085,138.0
1.65696,37.52176105,126.873337,3.31392,0.05856,0.46848,3.7824,0.12849266391952902,139.0
1.14056,37.53504778,126.8307811,2.28112,0.18429,1.47432,3.75544,0.1275768003886305,140.0
1.86723,37.5194472,126.8620401,3.73446,0.0,0.0,3.73446,0.12686408462905147,141.0
1.85022,37.52162321,126.8478759,3.70044,0.0,0.0,3.70044,0.1257083844316788,142.0
1.85002,37.52374933,126.8252236,3.70004,0.0,0.0,3.70004,0.1256947959519919,143.0
1.82761,37.52376546,126.8280527,3.65522,0.0,0.0,3.65522,0.12417220680307234,144.0
1.8193,37.50819608,126.8649645,3.6386,0.0,0.0,3.6386,0.12360760547208076,145.0
1.76126,37.52381344,126.8365399,3.52252,0.01356,0.10848,3.6310000000000002,0.12334942435802926,146.0
1.7944,37.52159183,126.8422179,3.5888,0.0,0.0,3.5888,0.12191583975105905,147.0
1.79342,37.54205546,126.8759971,3.58684,0.0,0.0,3.58684,0.12184925620059313,148.0
1.74324,37.5147685,126.8309622,3.48648,0.0,0.0,3.48648,0.11843990664714453,149.0
1.72678,37.52166977,126.8563629,3.45356,0.0,0.0,3.45356,0.1173215747689109,150.0
1.71723,37.52623744,126.8676409,3.43446,0.0,0.0,3.43446,0.11667272486386042,151.0
1.71159,37.51932279,126.8394087,3.42318,0.0,0.0,3.42318,0.11628952973668923,152.0
1.70539,37.54653195,126.8702996,3.41078,0.0,0.0,3.41078,0.11586828686639467,153.0
1.68425,37.53299724,126.8675838,3.3685,0.0,0.0,3.3685,0.11443198456348708,154.0
1.67914,37.53072879,126.8647735,3.35828,0.0,0.0,3.35828,0.11408479890748623,155.0
1.64285,37.53058907,126.8393094,3.2857,0.0,0.0,3.2857,0.11161916926829432,156.0
1.62888,37.51026198,126.8310025,3.25776,0.0,0.0,3.25776,0.11067001396216287,157.0
0.0,37.52608256,126.8393491,0.0,0.40498,3.23984,3.23984,0.1100612500721888,158.0
1.58627,37.51497108,126.867736,3.17254,0.0008,0.0064,3.1789400000000003,0.10799240403985501,159.0
1.32226,37.52847552,126.8647926,2.64452,0.05557,0.44456,3.08908,0.1049397520781881,160.0
