정류장 히트맵,위도,경도,가중치 적용 정류장 점수,주차장 히트맵,가중치 적용 주차장 점수,접근성 지수,정규화된 접근성 지수
2.5941,37.51367,126.872445,5.1882,0.0,0.0,5.1882,0.23264698839590078
2.27237,37.515011,126.86832,4.54474,0.0,0.0,4.54474,0.20379323735445554
1.4957,37.51636,126.869759,2.9914,0.0,0.0,2.9914,0.13413904650697692
1.43241,37.521958,126.867486,2.86482,0.43534,3.48272,6.34754,0.2846336040866806
1.69774,37.513486,126.866086,3.39548,0.0,0.0,3.39548,0.15225862460169484
1.86883,37.515706,126.873442,3.73766,0.0,0.0,3.73766,0.167602510051236
1.9707,37.511472,126.858392,3.9414,0.0,0.0,3.9414,0.17673852975282436
1.02406,37.506788,126.864108,2.04812,0.0,0.0,2.04812,0.09184089855314219
1.49004,37.512595,126.861548,2.98008,0.0,0.0,2.98008,0.13363144003293165
2.96969,37.528005,126.873279,5.93938,0.65385,5.2308,11.17018,0.5008883113295792
0.79374,37.543498,126.868468,1.58748,0.0,0.0,1.58748,0.07118508175065043
0.09039,37.546521,126.879263,0.18078,0.0,0.0,0.18078,0.008106457453878212
0.05305,37.543358,126.878788,0.1061,0.0,0.0,0.1061,0.0047576896551414895
1.23284,37.538174,126.885602,2.46568,0.0,0.0,2.46568,0.11056494089433805
0.0532,37.524905,126.833211,0.1064,0.79562,6.36496,6.47136,0.29018588620826036
2.17296,37.519757,126.83485,4.34592,0.99407,7.95256,12.29848,0.5514830449572525
0.20611,37.518137,126.834492,0.41222,0.27862,2.22896,2.64118,0.11843463490449196
0.09879,37.5222,126.831005,0.19758,0.0,0.0,0.19758,0.008859795683910042
3.51489,37.521151,126.836556,7.02978,0.05096,0.40768,7.43746,0.3335073185912217
0.0039,37.519799,126.832525,0.0078,0.93639,7.49112,7.498919999999999,0.33626328094942143
3.06056,37.514612,126.856483,6.12112,0.0,0.0,6.12112,0.2744805777745492
0.0,37.514104,126.850051,0.0,0.0,0.0,0.0,0.0
0.81383,37.513034,126.840467,1.62766,0.0,0.0,1.62766,0.07298681568414322
4.53856,37.512717,126.833542,9.07712,0.0,0.0,9.07712,0.407032233011102
1.2528,37.518012,126.868162,2.5056,1.082,8.656,11.1616,0.5005035707335272
0.0,37.50836,126.869014,0.0,0.0,0.0,0.0,0.0
0.0,37.517649,126.848293,0.0,0.25982,2.07856,2.07856,0.09320587567946177
1.21622,37.517261,126.843217,2.43244,0.06838,0.54704,2.97948,0.1336045350961448
0.0,37.516725,126.844484,0.0,0.0,0.0,0.0,0.0
0.0,37.515737,126.843973,0.0,0.0,0.0,0.0,0.0
0.69574,37.506192,126.833035,1.39148,0.0,0.0,1.39148,0.06239613573361243
1.63631,37.510721,126.869612,3.27262,0.86668,6.93344,10.20606,0.4576556652380146
4.72969,37.535016,126.877154,9.45938,1.60517,12.84136,22.300739999999998,1.0
3.79458,37.522468,126.847043,7.58916,0.0,0.0,7.58916,0.34030978344216384
1.1943,37.514628,126.836199,2.3886,0.0,0.0,2.3886,0.10710855334845391
0.5536,37.522877,126.879048,1.1072,0.0,0.0,1.1072,0.04964857668400242
0.28646,37.528443,126.830473,0.57292,0.27154,2.17232,2.74524,0.12310084777455817
0.20661,37.512982,126.826174,0.41322,0.0,0.0,0.41322,0.0185294299651043
0.06411,37.5319248,126.8859869,0.12822,0.0,0.0,0.12822,0.005749584991350063
1.40809,37.53664574,126.8308721,2.81618,0.5576,4.4608,7.27698,0.32631114483196527
1.67744,37.52051916,126.8787081,3.35488,0.0,0.0,3.35488,0.15043805721245126
