xcoord,ycoord,facNum,infraNum,,,
943625,1946625,3,0.375,,,
943625,1946875,1,0.125,,,
943625,1947125,2,0.25,,,
943625,1947375,2,0.25,,,
943625,1947625,2,0.25,,,
943625,1947875,5,0.625,,,
943625,1948125,3,0.375,,,
943625,1949375,1,0.125,,,
943625,1949625,2,0.25,,,
943625,1949875,1,0.125,,,
943625,1950125,2,0.25,,,
943875,1945375,0,0,,,
943875,1945625,1,0.125,,,
943875,1945875,1,0.125,,,
943875,1946125,0,0,,,
943875,1946375,2,0.25,,,
943875,1946625,3,0.375,,,
943875,1946875,2,0.25,,,
943875,1947125,0,0,,,
943875,1947375,1,0.125,,,
943875,1947625,2,0.25,,,
943875,1947875,5,0.625,,,
943875,1948125,6,0.75,,,
943875,1948375,4,0.5,,,
943875,1948625,1,0.125,,,
943875,1948875,1,0.125,,,
943875,1949125,1,0.125,,,
943875,1949375,1,0.125,,,
943875,1949625,2,0.25,,,
943875,1949875,2,0.25,,,
943875,1950125,8,1,,,
943875,1950375,3,0.375,,,
944125,1945375,0,0,,,
944125,1945625,1,0.125,,,
944125,1945875,0,0,,,
944125,1946125,0,0,,,
944125,1946375,0,0,,,
944125,1946625,2,0.25,,,
944125,1946875,1,0.125,,,
944125,1947125,1,0.125,,,
944125,1947375,2,0.25,,,
944125,1947625,4,0.5,,,
944125,1947875,0,0,,,
944125,1948125,1,0.125,,,
944125,1948375,2,0.25,,,
944125,1948625,2,0.25,,,
944125,1948875,3,0.375,,,
944125,1949125,2,0.25,,,
944125,1949375,0,0,,,
944125,1949625,0,0,,,
944125,1949875,4,0.5,,,
944125,1950125,8,1,,,
944125,1950375,3,0.375,,,
944375,1945125,0,0,,,
944375,1945375,0,0,,,
944375,1945625,0,0,,,
944375,1945875,0,0,,,
944375,1946125,0,0,,,
944375,1946375,2,0.25,,,
944375,1946625,4,0.5,,,
944375,1946875,2,0.25,,,
944375,1947125,1,0.125,,,
944375,1947375,3,0.375,,,
944375,1947625,5,0.625,,,
944375,1947875,1,0.125,,,
944375,1948125,0,0,,,
944375,1948375,2,0.25,,,
944375,1948625,1,0.125,,,
944375,1948875,2,0.25,,,
944375,1949125,1,0.125,,,
944375,1949375,1,0.125,,,
944375,1949625,2,0.25,,,
944375,1949875,2,0.25,,,
944375,1950125,3,0.375,,,
944625,1945125,0,0,,,
944625,1945375,0,0,,,
944625,1945625,0,0,,,
944625,1945875,0,0,,,
944625,1946125,0,0,,,
944625,1946375,0,0,,,
944625,1946625,2,0.25,,,
944625,1946875,1,0.125,,,
944625,1947125,3,0.375,,,
944625,1947375,4,0.5,,,
944625,1947625,2,0.25,,,
944625,1947875,3,0.375,,,
944625,1948125,1,0.125,,,
944625,1948375,1,0.125,,,
944625,1948625,2,0.25,,,
944625,1948875,3,0.375,,,
944625,1949125,0,0,,,
944625,1949375,0,0,,,
944625,1949625,2,0.25,,,
944625,1949875,2,0.25,,,
944875,1945625,0,0,,,
944875,1945875,0,0,,,
944875,1946125,0,0,,,
944875,1946375,0,0,,,
944875,1946625,1,0.125,,,
944875,1946875,1,0.125,,,
944875,1947125,5,0.625,,,
944875,1947375,4,0.5,,,
944875,1947625,1,0.125,,,
944875,1947875,3,0.375,,,
944875,1948125,2,0.25,,,
944875,1948375,0,0,,,
944875,1948625,3,0.375,,,
944875,1948875,1,0.125,,,
944875,1949125,0,0,,,
944875,1949375,0,0,,,
944875,1949625,0,0,,,
944875,1949875,1,0.125,,,
945125,1946125,0,0,,,
945125,1946375,0,0,,,
945125,1946625,0,0,,,
945125,1946875,0,0,,,
945125,1947125,1,0.125,,,
945125,1947375,0,0,,,
945125,1947625,0,0,,,
945125,1947875,0,0,,,
945125,1948125,0,0,,,
945125,1948375,0,0,,,
945125,1948625,3,0.375,,,
945125,1948875,3,0.375,,,
945125,1949125,0,0,,,
945125,1949375,0,0,,,
945125,1949625,0,0,,,
945125,1949875,0,0,,,
945125,1950125,0,0,,,
945375,1947625,0,0,,,
945375,1947875,0,0,,,
945375,1948125,0,0,,,
945375,1948375,0,0,,,
945375,1948625,1,0.125,,,
945375,1948875,1,0.125,,,
945375,1949125,0,0,,,
945375,1949375,0,0,,,
945375,1949625,0,0,,,
945375,1949875,0,0,,,
945375,1950125,0,0,,,
945625,1947625,0,0,,,
945625,1947875,0,0,,,
945625,1948125,0,0,,,
945625,1948375,0,0,,,
945625,1948625,2,0.25,,,
945625,1948875,2,0.25,,,
945625,1949125,0,0,,,
945625,1949375,0,0,,,
945625,1949625,0,0,,,
945625,1949875,0,0,,,
945875,1947875,0,0,,,
945875,1948125,0,0,,,
945875,1948375,0,0,,,
945875,1948625,0,0,,,
945875,1948875,2,0.25,,,
945875,1949125,0,0,,,
946125,1948125,0,0,,,
946125,1948375,0,0,,,
946125,1948625,0,0,,,
