xcoord,ycoord,facNum,infraNum,,,
940125,1945875,0,0,,,
940125,1946375,0,0,,,
940125,1946625,0,0,,,
940125,1948375,0,0,,,
940125,1948625,0,0,,,
940125,1948875,0,0,,,
940125,1949125,0,0,,,
940125,1949375,0,0,,,
940375,1945625,0,0,,,
940375,1945875,0,0,,,
940375,1946125,0,0,,,
940375,1946375,0,0,,,
940375,1946625,0,0,,,
940375,1946875,0,0,,,
940375,1947125,0,0,,,
940375,1947375,0,0,,,
940375,1947625,0,0,,,
940375,1948125,0,0,,,
940375,1948375,0,0,,,
940375,1948625,0,0,,,
940375,1948875,1,0.125,,,
940375,1949125,0,0,,,
940375,1949375,0,0,,,
940375,1949625,0,0,,,
940375,1949875,0,0,,,
940625,1945625,0,0,,,
940625,1945875,0,0,,,
940625,1946125,0,0,,,
940625,1946375,0,0,,,
940625,1946625,0,0,,,
940625,1946875,0,0,,,
940625,1947125,0,0,,,
940625,1947375,0,0,,,
940625,1947625,0,0,,,
940625,1947875,0,0,,,
940625,1948125,0,0,,,
940625,1948375,2,0.25,,,
940625,1948625,3,0.375,,,
940625,1948875,2,0.25,,,
940625,1949125,1,0.125,,,
940625,1949375,0,0,,,
940625,1949625,0,0,,,
940625,1949875,0,0,,,
940625,1950125,0,0,,,
940875,1945125,0,0,,,
940875,1945375,0,0,,,
940875,1945625,0,0,,,
940875,1945875,0,0,,,
940875,1946125,5,0.625,,,
940875,1946375,0,0,,,
940875,1946625,0,0,,,
940875,1946875,0,0,,,
940875,1947125,1,0.125,,,
940875,1947375,0,0,,,
940875,1947625,0,0,,,
940875,1947875,0,0,,,
940875,1948125,2,0.25,,,
940875,1948375,3,0.375,,,
940875,1948625,3,0.375,,,
940875,1948875,1,0.125,,,
940875,1949125,1,0.125,,,
940875,1949375,1,0.125,,,
940875,1949625,0,0,,,
940875,1949875,0,0,,,
940875,1950125,0,0,,,
941125,1945125,0,0,,,
941125,1945375,0,0,,,
941125,1945625,0,0,,,
