위도,경도,infraNum
37.51021362,126.8225168,0.1117046965
37.51472013,126.822476,0.1195352952
37.51697338,126.8224557,0.05752841166
37.53274612,126.822313,0.4700503786
37.53499937,126.8222926,0.4993261676
37.53725261,126.8222722,0.5421062746
37.53950586,126.8222518,0.5119798391
37.5417591,126.8222314,0.4116601289
37.50797655,126.8253656,0.2617192385
37.51022981,126.8253453,0.3532988775
37.51248306,126.825325,0.3907572896
37.51473632,126.8253048,0.3646030584
37.51698957,126.8252845,0.2816465953
37.51924283,126.8252642,0.2909872001
37.52149608,126.8252439,0.3492107805
37.52374933,126.8252236,0.3488027126
37.52600258,126.8252033,0.3647830183
37.53050908,126.8251627,0.551638354
37.53276233,126.8251424,0.696848065
37.53501557,126.8251221,0.751272007
37.53726882,126.8251018,0.7934311814
37.53952206,126.8250815,0.7348867463
37.54177531,126.8250612,0.5794355869
37.54402855,126.8250409,0.4323117691
37.54628179,126.8250205,0.3307284965
37.50799267,126.8281941,0.4514460868
37.51024593,126.8281739,0.5822912675
37.51249919,126.8281537,0.642882403
37.51475244,126.8281335,0.6006894895
37.5170057,126.8281133,0.4797252801
37.51925895,126.8280931,0.508543945
37.52151221,126.8280729,0.5967820017
37.52376546,126.8280527,0.5965442512
37.52601871,126.8280325,0.5656432375
37.52827196,126.8280122,0.6794607303
37.53052521,126.827992,0.6906684028
37.53277846,126.8279718,0.8308255417
37.53503171,126.8279516,0.9866240853
37.53728496,126.8279314,0.9609329409
37.5395382,126.8279111,0.8341509148
37.54179145,126.8278909,0.7266273756
37.54404469,126.8278707,0.6539258784
37.54629794,126.8278505,0.5058472225
37.54855118,126.8278302,0.3299984633
37.5035022,126.8310628,0.1844374391
37.50575547,126.8310427,0.380584672
37.50800873,126.8310226,0.5724392403
37.51026198,126.8310025,0.7609592401
37.51251524,126.8309823,0.8939892212
37.5147685,126.8309622,0.795671808
37.51702176,126.8309421,0.6146491028
37.51927501,126.830922,0.6732880078
37.52152827,126.8309019,0.8303792487
37.52378152,126.8308817,0.8307628437
37.52603477,126.8308616,0.7896535048
37.52828803,126.8308415,0.8777790481
37.53054128,126.8308214,0.9107852359
37.53279453,126.8308012,0.9138826449
37.53504778,126.8307811,0.7784213077
37.53730103,126.830761,0.7804612863
37.53955427,126.8307408,0.8202137703
37.54180752,126.8307207,0.9763229431
37.54406077,126.8307005,0.7922923176
37.54631401,126.8306804,0.5922761066
37.54856726,126.8306602,0.3916056493
37.50351819,126.8338911,0.193302816
37.50577145,126.8338711,0.3925269706
37.50802471,126.833851,0.5900330945
37.51027797,126.833831,0.7813081928
37.51253123,126.833811,0.9145847247
37.51478449,126.833791,0.8081509297
37.51703775,126.8337709,0.6823355835
37.519291,126.8337509,0.8580198149
37.52154426,126.8337309,0.9454083587
37.52379752,126.8337108,0.9078593679
37.52605077,126.8336908,0.9748308635
37.52830402,126.8336707,0.9305263803
37.53055728,126.8336507,0.8971572503
37.53281053,126.8336306,0.9715366805
37.53506378,126.8336106,0.7720328059
37.53731703,126.8335905,0.5711395014
37.53957028,126.8335705,0.7184826272
37.54182353,126.8335504,0.7867267523
37.5035341,126.8367194,0.1269095135
37.50578737,126.8366995,0.3072760026
37.50804063,126.8366795,0.4727632319
37.51029389,126.8366596,0.6046793375
37.51254715,126.8366396,0.6623909873
37.51480041,126.8366197,0.8435021483
37.51705367,126.8365998,0.9022548665
37.51930693,126.8365798,0.9832980456
37.52156019,126.8365599,0.8365067869
37.52381344,126.8365399,0.7297776393
37.5260667,126.8365199,0.7240879512
37.52831995,126.8365,0.7369765681
37.53057321,126.83648,0.9016290911
37.53282646,126.8364601,0.9129082842
37.53507971,126.8364401,0.7131291941
37.53733296,126.8364201,0.5123467988
37.50354995,126.8395477,0
37.50580321,126.8395279,0.1641117675
37.50805648,126.839508,0.3629249157
37.51030974,126.8394882,0.5597694117
37.512563,126.8394683,0.7501197682
37.51481627,126.8394484,0.8949688969
37.51706953,126.8394286,0.9216264172
37.51932279,126.8394087,0.8659742549
37.52157604,126.8393889,0.971459994
37.5238293,126.839369,0.8145560576
37.52608256,126.8393491,0.782474152
37.52833581,126.8393292,0.6275399636
37.53058907,126.8393094,0.7524983635
37.505819,126.8423563,0.1582946174
37.50807226,126.8423365,0.3555865308
37.51032553,126.8423167,0.5496361872
37.51257879,126.842297,0.7337881179
37.51483205,126.8422772,0.8759170254
37.51708531,126.8422574,0.9535976075
37.51933857,126.8422376,0.9389095399
37.52159183,126.8422179,0.9367835903
