공원명,공원구분,소재지지번주소,위도,경도,공원면적
근린공원7호,근린공원,서울특별시 강남구 자곡동 627,37.47039047,127.0923987,12093.0
배밭근린공원,근린공원,서울특별시 강남구 개포동 181,37.48821488,127.0594681,11627.2
수서택지개발(대모산부근),근린공원,서울특별시 강남구 일원동 732-3,37.48093233,127.0805118,11588.6
늘푸른근린공원,근린공원,서울특별시 강남구 일원동 690,37.48951135,127.0773393,11410.3
개포서근린공원,근린공원,서울특별시 강남구 개포동 180,37.4885944,127.0635583,11219.2
대치근린공원,근린공원,서울특별시 강남구 대치동 512,37.495123,127.0699032,10408.9
수변공원1호,수변공원,서울특별시 강남구 세곡동604-1,37.465664,127.097181,10399.2
세곡동 근린공원1,근린공원,서울특별시 강남구 세곡동 525-1,37.46058474,127.1038574,10310.4
독골근린공원,근린공원,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9
탄천근린공원,근린공원,서울특별시 강남구 수서동 722,37.487436,127.1064899,10011.0
개포동근린공원,근린공원,서울특별시 강남구 개포동 182-1,37.48970641,127.0682905,9705.6
청룡근린공원,근린공원,서울특별시 강남구 개포동 649-1,37.48528514,127.0537972,9367.0
갈매기근린공원,근린공원,서울특별시 강남구 압구정동 480,37.53139874,127.0345365,7732.0
수서택지개발(광평부근),근린공원,서울특별시 강남구 수서동 737-1,37.48674541,127.0971098,7569.1
신사근린공원,근린공원,서울특별시 강남구 압구정동 422,37.526708,127.0212651,6800.0
매봉근린공원,근린공원,서울특별시 강남구 도곡동 527-7,37.492112,127.0504068,6146.9
근린공원2호,근린공원,서울특별시 강남구 자곡동 625,37.4692274,127.0902554,5236.8
개포공원,어린이공원,서울특별시 강남구 개포동 190,37.48532872,127.0716569,4793.8
일원개나리공원,어린이공원,서울특별시 강남구 일원동 730-3,37.48300519,127.0763956,4453.6
도담공원,어린이공원,서울특별시 강남구 세곡동 548,37.46732499,127.0986125,4282.7
수변공원2호,수변공원,서울특별시 강남구 세곡동 537,37.46520915,127.093755,3713.3
충현공원,어린이공원,서울특별시 강남구 역삼동 666-2,37.50467201,127.0365347,2721.8
은곡마을공원,어린이공원,서울특별시 강남구 세곡동 369-3,37.46801863,127.1004611,2686.0
세곡천공원,어린이공원,서울특별시 강남구 세곡동 522-1,37.46321345,127.1012799,2645.1
대왕공원,어린이공원,서울특별시 강남구 세곡동 526-2,37.4624778,127.1049341,2633.1
압구정은행나무공원,어린이공원,서울특별시 강남구 압구정동 459,37.53072221,127.0314438,2547.4
한마음공원,어린이공원,서울특별시 강남구 개포동 12-3,37.49642631,127.0755359,2488.1
행복공원,어린이공원,서울특별시 강남구 세곡동 546,37.46728874,127.0971653,2483.5
압구정목련공원,어린이공원,서울특별시 강남구 압구정동 466,37.53268534,127.0322088,2027.2
도성근린공원,근린공원,서울특별시 강남구 역삼동 713-15,37.5003029,127.0488318,1988.8
논현무궁화공원,어린이공원,서울특별시 강남구 논현동 205-7,37.50667179,127.0307039,1879.7
일원느티나무공원,어린이공원,서울특별시 강남구 일원동 730-2,37.483047,127.0774123,1825.7
논현소나무공원,어린이공원,서울특별시 강남구 논현동 239,37.51573112,127.0374539,1819.9
샘터근린공원,근린공원,서울특별시 강남구 삼성동 16-4,37.51542123,127.0474657,1799.5
도곡까치공원,어린이공원,서울특별시 강남구 도곡동 455,37.483326,127.0451093,1793.8
도곡목련공원,어린이공원,서울특별시 강남구 도곡동 415-3,37.484915,127.0443053,1709.2
개포까치공원,어린이공원,서울특별시 강남구 개포동 169-3,37.48370515,127.0608782,1690.2
큰골근린공원,근린공원,서울특별시 강남구 대치동 888-3,37.49397694,127.054871,1688.1
논현개나리공원,어린이공원,서울특별시 강남구 논현동 150-5,37.51122564,127.0300758,1652.9
대치목련공원,어린이공원,서울특별시 강남구 대치동 929-10,37.49982553,127.0581713,1649.1
역삼은행나무공원,어린이공원,서울특별시 강남구 역삼동 611,37.505409,127.0312225,1647.1
청담은행나무공원,어린이공원,서울특별시 강남구 청담동 94-4,37.525154,127.0442417,1643.8
청담목련공원,어린이공원,서울특별시 강남구 청담동 51,37.52300518,127.0498445,1642.1
신사무궁화공원,어린이공원,서울특별시 강남구 신사동 625-5,37.524131,127.0319138,1641.8
개포은행나무공원,어린이공원,서울특별시 강남구 개포동 1220,37.47602964,127.0492625,1641.7
삼성목련공원,어린이공원,서울특별시 강남구 삼성동 55-1,37.518515,127.0538884,1641.4
개포목련공원,어린이공원,서울특별시 강남구 개포동 1176,37.47429924,127.0524432,1639.1
역삼장미공원,어린이공원,서울특별시 강남구 역삼동 780-25,37.495327,127.0447331,1636.6
역삼개나리공원,어린이공원,서울특별시 강남구 역삼동 739-15,37.497571,127.0362551,1635.0
대치은행나무공원,어린이공원,서울특별시 강남구 대치동 899-25,37.501649,127.0515319,1618.7
일원목련공원,어린이공원,서울특별시 강남구 일원동 658,37.491431,127.0855901,1613.8
배꽃근린공원,근린공원,서울특별시 강남구 삼성동 11-3,37.51628496,127.0446033,1592.9
길섶근린공원,근린공원,서울특별시 강남구 역삼동 757-1,37.49757437,127.0489095,1580.6
예지공원,어린이공원,서울특별시 강남구 개포동 12-7,37.49183156,127.0733493,1535.9
일원비둘기공원,어린이공원,서울특별시 강남구 일원동 735-1,37.48327765,127.0860025,1501.0
일원소나무공원,어린이공원,서울특별시 강남구 일원동 718-1,37.484061,127.0817812,1500.6
개포개나리공원,어린이공원,서울특별시 강남구 개포동 190,37.48532872,127.0716569,1500.6
수서은행나무공원,어린이공원,서울특별시 강남구 수서동 707-1,37.49213676,127.0997523,1500.4
일원상록수공원,어린이공원,서울특별시 강남구 일원동 734-1,37.482102,127.0822265,1500.4
일원은행나무공원,어린이공원,서울특별시 강남구 일원동 615-2,37.492002,127.0769753,1500.3
일원새싹공원,어린이공원,서울특별시 강남구 수서동 746-1,37.484772,127.0890958,1500.2
수서까치공원,어린이공원,서울특별시 강남구 수서동 736-1,37.48713637,127.0979512,1500.2
수서개나리공원,어린이공원,서울특별시 강남구 수서동 723-1,37.487518,127.1054203,1500.1
일원진달래공원,어린이공원,서울특별시 강남구 일원동 716-1,37.484753,127.0847344,1500.1
일원장미공원,어린이공원,서울특별시 강남구 일원동 732-4,37.480681,127.0808231,1500.0
삼성은행나무근린공원,근린공원,서울특별시 강남구 삼성동 14,37.51651533,127.0457554,1500.0
학동공원,어린이공원,서울특별시 강남구 논현동 263-23,37.511646,127.0387639,1498.5
일원까치공원,어린이공원,서울특별시 강남구 일원동 712-4,37.4918904,127.0882309,1476.3
삼성까치공원,어린이공원,서울특별시 강남구 삼성동 85,37.51841744,127.0605431,1462.9
수서목련공원,어린이공원,서울특별시 강남구 수서동 712-1,37.49062982,127.1036989,1418.8
학봉근린공원,근린공원,서울특별시 강남구 삼성동 50-3,37.51303694,127.0521038,1343.0
영동근린공원,근린공원,서울특별시 강남구 역삼동 755-7,37.49801996,127.0486499,1293.6
윗반고개공원,어린이공원,서울특별시 강남구 세곡동 99-6,37.46569942,127.109147,1250.0
신사은행나무공원,어린이공원,서울특별시 강남구 신사동 558,37.52059722,127.0260394,1240.1
쉼표소공원,소공원,서울특별시 강남구 세곡동 549,37.467518,127.099851,1199.2
송운근린공원,근린공원,서울특별시 강남구 역삼동 755-9,37.4993173,127.0490489,1175.0
봉은근린공원,근린공원,서울특별시 강남구 역삼동 754-4,37.49795348,127.048244,1147.7
언주근린공원,근린공원,서울특별시 강남구 역삼동 754-7,37.49864145,127.0475791,1110.8
